subject_category,object_category,subject_bbox,object_bbox,source_img,y
person,bike,"(240, 516, 124, 215)","(364, 506, 68, 260)",6315641873_ed9b8892b1_b.jpg,0
person,bike,"(1, 682, 303, 681)","(366, 682, 122, 784)",8737795716_0877c162f4_b.jpg,0
horse,person,"(198, 536, 310, 738)","(133, 413, 472, 609)",2557901800_514be27c44_b.jpg,0
person,train,"(262, 420, 94, 155)","(85, 522, 1, 825)",9533523324_2f98357d2f_b.jpg,0
umbrella,person,"(8, 194, 313, 663)","(140, 969, 324, 617)",5772517433_38c7350190_b.jpg,0
umbrella,person,"(135, 239, 235, 353)","(185, 439, 267, 356)",5285385324_1b126dccf3_b.jpg,0
cat,person,"(453, 833, 189, 430)","(599, 1023, 7, 496)",6028248328_bc5eac9b5c_b.jpg,0
person,table,"(335, 767, 99, 323)","(505, 767, 240, 950)",5075675963_d2c1e7973f_b.jpg,0
person,surfboard,"(302, 328, 589, 648)","(311, 346, 558, 626)",5010532066_7a40d3472b_b.jpg,0
person,motorcycle,"(303, 578, 218, 347)","(331, 625, 119, 461)",9725059605_fcb7ebb82d_b.jpg,0
person,ball,"(260, 456, 67, 198)","(455, 497, 348, 377)",8632289488_5161e87cf2_b.jpg,0
umbrella,person,"(305, 374, 711, 839)","(357, 572, 748, 832)",8476650893_56d25c7356_b.jpg,0
cat,cat,"(513, 756, 473, 764)","(429, 570, 193, 461)",81520375_3e32327b82_b.jpg,0
motorcycle,person,"(427, 673, 554, 779)","(308, 607, 583, 764)",3706114881_c5de1137db_b.jpg,0
person,bed,"(7, 58, 216, 328)","(52, 222, 35, 610)",8287793659_831bc0feba_o.jpg,0
person,boat,"(392, 422, 344, 365)","(303, 486, 299, 445)",3030952705_07b073d5ab_b.jpg,0
person,bag,"(335, 1017, 35, 245)","(533, 707, 201, 289)",5002423744_35fbbc72d0_b.jpg,0
person,bus,"(398, 556, 563, 678)","(81, 598, 6, 897)",4124089113_54490d610c_o.jpg,0
person,ball,"(1, 683, 205, 615)","(387, 441, 964, 1024)",5663322244_ab14a5deea_b.jpg,0
person,street,"(272, 480, 25, 94)","(301, 497, 7, 881)",7296945680_4624752643_b.jpg,0
umbrella,person,"(254, 952, 113, 469)","(48, 335, 11, 950)",8623538793_7ce82c5877_b.jpg,0
person,surfboard,"(161, 571, 368, 517)","(516, 631, 289, 1015)",144007546_0d35101ccc_b.jpg,0
umbrella,person,"(100, 222, 526, 713)","(183, 500, 485, 616)",10097278376_7d00ac2c47_b.jpg,0
person,motorcycle,"(339, 503, 589, 703)","(369, 532, 520, 768)",7763421512_6a0b9613b5_b.jpg,0
umbrella,person,"(147, 201, 350, 425)","(149, 287, 348, 423)",228449286_28dbd602f8_o.jpg,0
person,bag,"(220, 644, 140, 287)","(384, 484, 160, 237)",4897374679_d7d5e793cf_b.jpg,0
person,bus,"(268, 506, 27, 119)","(90, 705, 137, 952)",9497438546_c33b3d32a9_b.jpg,0
person,surfboard,"(104, 765, 325, 877)","(118, 767, 395, 867)",168197964_90464b9c7f_b.jpg,0
horse,person,"(329, 642, 569, 715)","(291, 521, 607, 706)",4559376344_63eb53f854_b.jpg,0
person,bag,"(137, 512, 271, 384)","(347, 385, 267, 304)",5109490488_81960213da_b.jpg,0
person,motorcycle,"(458, 568, 157, 227)","(503, 608, 86, 299)",6113327202_3aa0d86675_b.jpg,0
person,horse,"(50, 367, 23, 176)","(187, 554, 24, 164)",889825699_c2777a5596_o.jpg,0
person,motorcycle,"(293, 638, 354, 496)","(375, 662, 216, 595)",6904475584_9fb06bc1bf_b.jpg,0
person,bag,"(594, 682, 382, 445)","(619, 682, 413, 447)",9299503837_8f28cc5fc8_b.jpg,0
person,motorcycle,"(345, 495, 659, 734)","(369, 532, 520, 768)",7763421512_6a0b9613b5_b.jpg,0
motorcycle,person,"(265, 787, 90, 956)","(12, 667, 306, 685)",9653931989_4cc05560e3_b.jpg,0
person,motorcycle,"(639, 767, 364, 436)","(677, 764, 327, 460)",7162772807_969b288e08_b.jpg,0
person,snowboard,"(270, 832, 525, 817)","(727, 882, 565, 810)",358180128_51bb8befb2_o.jpg,0
plane,sky,"(240, 295, 189, 320)","(1, 452, 2, 1023)",403669489_5dc6bd6b98_b.jpg,0
boat,person,"(304, 447, 56, 349)","(350, 385, 231, 249)",9612276764_253ca7b6ba_o.jpg,0
umbrella,person,"(584, 771, 537, 676)","(594, 1001, 463, 638)",5124326793_acceb2984b_b.jpg,0
umbrella,person,"(104, 582, 407, 946)","(445, 1021, 527, 862)",6935389590_de5c5ca99e_b.jpg,0
person,person,"(68, 679, 125, 704)","(5, 682, 1, 269)",8513200782_e31bd78af8_b.jpg,0
horse,person,"(178, 777, 128, 349)","(25, 539, 118, 401)",3413007462_c9cdedbecf_b.jpg,0
person,bag,"(377, 591, 547, 633)","(384, 447, 576, 631)",8449584027_4964ce99ac_b.jpg,0
person,motorcycle,"(270, 354, 428, 462)","(310, 354, 425, 465)",5735812907_55c79e40b4_b.jpg,0
person,elephant,"(347, 603, 259, 428)","(485, 767, 120, 490)",7636226412_06a101a4d6_b.jpg,0
person,horse,"(340, 789, 190, 482)","(450, 1005, 218, 456)",8905821431_efa1754087_b.jpg,0
person,skis,"(287, 1023, 168, 469)","(828, 1023, 241, 394)",5411889819_1c38b3d078_b.jpg,0
person,bag,"(366, 754, 557, 673)","(458, 619, 596, 680)",9179271597_e024490008_b.jpg,0
person,bag,"(370, 677, 618, 716)","(424, 533, 665, 710)",9427606795_c715bf4c11_b.jpg,0
truck,street,"(324, 626, 378, 839)","(486, 683, 1, 1024)",2602285885_23611d66a1_b.jpg,0
elephant,person,"(485, 767, 120, 490)","(347, 603, 259, 428)",7636226412_06a101a4d6_b.jpg,0
person,bench,"(117, 636, 434, 632)","(578, 767, 17, 1022)",4594556842_8cc62c5a17_b.jpg,0
person,skateboard,"(182, 643, 207, 537)","(392, 650, 190, 262)",3783238023_13af5f5171_o.jpg,0
person,motorcycle,"(82, 672, 226, 618)","(165, 675, 121, 706)",8366230936_7b5da87647_b.jpg,0
person,umbrella,"(149, 287, 348, 423)","(147, 201, 350, 425)",228449286_28dbd602f8_o.jpg,0
person,skateboard,"(339, 584, 228, 508)","(555, 673, 282, 457)",9000123920_480512334a_b.jpg,0
person,sand,"(582, 652, 323, 348)","(634, 681, 8, 1022)",290810440_b299210c0c_b.jpg,0
person,bag,"(85, 317, 234, 353)","(163, 308, 262, 358)",8147048051_1caef454a5_o.jpg,0
person,bag,"(435, 1023, 372, 616)","(716, 881, 324, 442)",8093545484_7b9c00966d_b.jpg,0
dog,oven,"(170, 290, 290, 369)","(128, 263, 193, 318)",3659137656_a82681d7f5_o.jpg,0
person,motorcycle,"(113, 445, 314, 621)","(249, 592, 264, 729)",7896212776_413749e9ac_b.jpg,0
motorcycle,person,"(220, 831, 62, 569)","(250, 655, 271, 419)",5105786658_a9e051affc_b.jpg,0
person,snowboard,"(569, 736, 205, 363)","(591, 797, 339, 397)",5441798399_947485e6b4_b.jpg,0
person,bag,"(318, 449, 131, 175)","(382, 423, 163, 177)",1348163097_6d49676ae8_o.jpg,0
person,bag,"(435, 681, 680, 786)","(537, 592, 679, 718)",5533444172_7fde493b71_b.jpg,0
umbrella,person,"(213, 341, 653, 988)","(339, 533, 398, 526)",9233312433_22960f99c3_b.jpg,0
horse,grass,"(278, 406, 284, 376)","(216, 470, 1, 629)",321785477_a4a4739ee5_o.jpg,0
person,grass,"(181, 377, 634, 775)","(207, 765, 1, 1024)",908984325_df6244e5b7_b.jpg,0
person,monitor,"(217, 955, 336, 913)","(280, 676, 3, 218)",836654569_589c01ec89_o.jpg,0
person,sand,"(42, 1020, 86, 405)","(783, 1004, 337, 611)",477419396_f015de8f22_b.jpg,0
bike,person,"(616, 1017, 364, 1001)","(259, 793, 591, 886)",8538884882_02c6a81024_b.jpg,0
elephant,grass,"(279, 547, 103, 329)","(74, 599, 1, 800)",5205855118_b2f6588454_b.jpg,0
person,plate,"(121, 617, 608, 865)","(572, 597, 626, 736)",7825579384_8334bb4d4e_b.jpg,0
boat,person,"(262, 1018, 3, 678)","(192, 972, 73, 338)",8716248056_9077ca1959_b.jpg,0
person,bike,"(328, 401, 554, 597)","(385, 458, 548, 599)",329110892_f81f0094ae_b.jpg,0
person,snowboard,"(176, 766, 2, 381)","(262, 284, 266, 289)",4514844043_f5154d5fb0_b.jpg,0
motorcycle,person,"(249, 592, 264, 729)","(113, 445, 314, 621)",7896212776_413749e9ac_b.jpg,0
person,bag,"(189, 494, 198, 325)","(283, 381, 241, 287)",8232450077_a5d1a17625_b.jpg,0
bike,street,"(269, 538, 79, 411)","(465, 684, 2, 1024)",4340137750_01465eff6f_b.jpg,0
person,skateboard,"(461, 541, 578, 664)","(555, 673, 282, 457)",9000123920_480512334a_b.jpg,0
person,skis,"(532, 770, 363, 455)","(710, 773, 179, 552)",4978864715_aef3ddfac3_b.jpg,0
person,umbrella,"(323, 572, 780, 919)","(328, 385, 789, 921)",8847337741_c00bae336c_b.jpg,0
person,skateboard,"(102, 446, 265, 512)","(421, 477, 350, 494)",7343744772_dff2e25075_b.jpg,0
giraffe,hand,"(11, 757, 13, 1022)","(586, 736, 325, 489)",4506438221_25577f8be9_o.jpg,0
person,motorcycle,"(87, 502, 877, 1007)","(243, 463, 732, 1003)",2522658537_0f0c78d42f_b.jpg,0
umbrella,table,"(1, 451, 83, 1021)","(386, 680, 183, 689)",4369991970_223d33567f_b.jpg,0
person,road,"(473, 554, 522, 540)","(528, 583, 487, 570)",25691390_f9944f61b5_b.jpg,0
cat,cat,"(429, 570, 193, 461)","(513, 756, 473, 764)",81520375_3e32327b82_b.jpg,0
horse,person,"(376, 804, 133, 614)","(149, 495, 267, 523)",8738943244_ef77da2d66_b.jpg,0
motorcycle,person,"(293, 327, 437, 473)","(264, 296, 453, 470)",6993148392_0f00427777_b.jpg,0
person,motorcycle,"(92, 413, 576, 711)","(194, 655, 15, 907)",6932219334_b35c5ed556_b.jpg,0
person,kite,"(543, 587, 120, 140)","(128, 141, 470, 490)",7721123202_91089fcbb9_o.jpg,0
person,skis,"(225, 347, 203, 247)","(250, 358, 197, 276)",4308944798_d7a4c1233d_o.jpg,0
person,skateboard,"(53, 296, 327, 563)","(252, 299, 436, 582)",4413965048_2ceb3ae4cf_b.jpg,0
person,snowboard,"(85, 531, 546, 1013)","(479, 545, 699, 1022)",6725777279_29b707deee_b.jpg,0
person,bag,"(445, 1021, 527, 862)","(572, 668, 543, 602)",6935389590_de5c5ca99e_b.jpg,0
person,surfboard,"(249, 410, 687, 738)","(296, 373, 592, 870)",6148444553_779a53b647_b.jpg,0
umbrella,person,"(302, 381, 519, 707)","(377, 591, 547, 633)",8449584027_4964ce99ac_b.jpg,0
person,plane,"(374, 524, 554, 621)","(290, 394, 365, 776)",6610791839_4f408b20af_b.jpg,0
umbrella,person,"(41, 201, 557, 1014)","(45, 98, 55, 100)",9228419123_90a577dfb3_b.jpg,0
motorcycle,person,"(249, 592, 264, 729)","(126, 464, 353, 613)",7896212776_413749e9ac_b.jpg,0
person,surfboard,"(209, 270, 367, 476)","(268, 333, 353, 471)",5220238976_b0daf80c57_b.jpg,0
person,skateboard,"(313, 515, 176, 353)","(484, 536, 223, 313)",4271356855_4c8b996aee_b.jpg,0
person,umbrella,"(268, 721, 301, 424)","(176, 383, 95, 425)",130033128_fe89d7fe73_b.jpg,0
person,elephant,"(272, 499, 137, 269)","(415, 830, 1, 535)",9210783409_93fee826e5_b.jpg,0
truck,person,"(304, 572, 2, 472)","(267, 459, 217, 361)",7162648307_5a350b2afd_b.jpg,0
person,motorcycle,"(38, 465, 609, 840)","(166, 544, 613, 902)",6921862812_621df0e7e8_b.jpg,0
person,bag,"(538, 663, 877, 938)","(596, 624, 875, 904)",6334247035_d7ee063c6e_b.jpg,0
person,bike,"(423, 673, 667, 789)","(519, 705, 544, 813)",7890896924_a553b5deca_b.jpg,0
airplane,street,"(240, 539, 2, 913)","(522, 603, 7, 1022)",8843742643_a759947d7a_b.jpg,0
giraffe,grass,"(120, 1005, 92, 644)","(905, 1023, 1, 764)",5925756529_5ef3a46e02_b.jpg,0
person,train,"(320, 353, 345, 375)","(226, 641, 254, 712)",3572969356_2b01616f71_b.jpg,0
truck,wheel,"(219, 436, 305, 781)","(274, 356, 505, 572)",10230032614_f611513f39_b.jpg,0
person,phone,"(269, 1010, 312, 765)","(593, 628, 441, 504)",5893396362_849399e760_b.jpg,0
motorcycle,person,"(369, 532, 520, 768)","(345, 495, 659, 734)",7763421512_6a0b9613b5_b.jpg,0
person,ball,"(296, 444, 664, 722)","(221, 234, 655, 666)",2639340643_8ccd02052a_b.jpg,0
person,person,"(75, 668, 2, 107)","(68, 648, 817, 977)",2394657984_a0ca8f25d7_b.jpg,0
person,surfboard,"(192, 598, 525, 694)","(135, 237, 259, 959)",470168958_bceeb41ef6_o.jpg,0
person,bike,"(321, 640, 292, 456)","(398, 685, 295, 464)",6936322480_4e76597d37_b.jpg,0
kite,sky,"(42, 60, 419, 431)","(3, 490, 1, 533)",4433556373_ddfabedff5_o.jpg,0
horse,grass,"(433, 616, 473, 732)","(387, 720, 6, 1023)",3686355168_d2d7b944d9_b.jpg,0
person,person,"(109, 368, 15, 123)","(81, 476, 263, 522)",6536341379_bfeab6b0b3_b.jpg,0
person,street,"(229, 610, 417, 611)","(479, 618, 1, 1052)",3788788844_c300c08cd2_o.jpg,0
person,skateboard,"(293, 562, 357, 581)","(479, 590, 358, 506)",3226579129_c5c2e9650e_b.jpg,0
person,motorcycle,"(206, 551, 408, 660)","(252, 605, 404, 666)",8081364427_9a127174a2_b.jpg,0
person,person,"(131, 740, 46, 277)","(154, 739, 385, 586)",8339575908_ecdb085d01_b.jpg,0
person,bag,"(392, 600, 843, 896)","(439, 491, 867, 921)",8439427202_489a54c16e_b.jpg,0
person,motorcycle,"(297, 435, 863, 937)","(343, 439, 819, 973)",8073566196_1479f7842d_b.jpg,0
person,bike,"(1, 682, 303, 681)","(359, 681, 165, 782)",8737795716_0877c162f4_b.jpg,0
person,surfboard,"(379, 584, 310, 384)","(404, 527, 209, 386)",9356671403_1a840fa02b_b.jpg,0
person,grass,"(121, 624, 273, 469)","(407, 674, 15, 1017)",7395494510_638e25d48b_b.jpg,0
person,street,"(196, 311, 6, 53)","(250, 749, 1, 999)",21604191_3755c03758_o.jpg,0
person,bag,"(378, 644, 65, 190)","(530, 575, 90, 120)",7378129798_4589bb2503_b.jpg,0
person,street,"(294, 843, 497, 655)","(758, 1024, 1, 680)",2787814392_2abe0f2c9d_b.jpg,0
person,bike,"(110, 302, 281, 373)","(168, 330, 283, 529)",4942728226_fde93cd159_o.jpg,0
person,phone,"(301, 795, 262, 542)","(448, 493, 232, 280)",5893396362_849399e760_b.jpg,0
person,motorcycle,"(7, 607, 301, 765)","(7, 683, 6, 1021)",7122873421_aaae369b9d_b.jpg,0
person,monitor,"(158, 637, 175, 597)","(134, 493, 789, 1022)",772311319_d6d7449571_b.jpg,0
person,motorcycle,"(329, 427, 258, 315)","(378, 435, 227, 353)",7709024968_ce77584b45_b.jpg,0
motorcycle,person,"(165, 675, 121, 706)","(82, 672, 226, 618)",8366230936_7b5da87647_b.jpg,0
person,street,"(163, 766, 432, 654)","(213, 761, 1, 1023)",449583699_8c0d2d2b70_b.jpg,0
person,kite,"(649, 884, 315, 420)","(229, 282, 165, 215)",194872763_0593c92057_b.jpg,0
person,pillow,"(193, 867, 336, 638)","(396, 597, 429, 525)",5114751201_376206c4d9_b.jpg,0
person,monitor,"(467, 1200, 159, 406)","(411, 618, 426, 688)",1807338675_5e13fe07f9_o.jpg,0
person,kite,"(219, 761, 1, 365)","(313, 350, 397, 426)",5702585862_4ae1b1d7b3_b.jpg,0
person,skateboard,"(157, 623, 392, 630)","(293, 446, 373, 622)",2958170227_bf708d72b8_b.jpg,0
horse,grass,"(363, 462, 418, 510)","(437, 764, 1, 893)",10131308045_396d053b7e_b.jpg,0
person,laptop,"(188, 429, 259, 421)","(308, 376, 152, 251)",88174066_035cae416a_b.jpg,0
person,skateboard,"(104, 320, 453, 593)","(229, 387, 459, 534)",7916239006_475c5f6123_b.jpg,0
person,skateboard,"(52, 518, 109, 414)","(486, 555, 237, 425)",4142557909_381efb657c_b.jpg,0
umbrella,person,"(31, 423, 198, 820)","(238, 586, 430, 663)",8252946447_07db876128_b.jpg,0
person,laptop,"(215, 680, 753, 1022)","(342, 679, 467, 810)",3760552218_ce8da800b2_b.jpg,0
umbrella,cart,"(82, 329, 13, 408)","(405, 549, 123, 324)",18639687_a10408144b_b.jpg,0
person,street,"(1, 341, 343, 557)","(1, 294, 1, 1021)",5593848954_5a45f3dfd8_b.jpg,0
umbrella,person,"(721, 1162, 454, 745)","(711, 968, 493, 841)",947317936_6816fc0426_o.jpg,0
cat,bear,"(104, 766, 460, 874)","(243, 766, 131, 534)",2784459739_6c85ccf6c0_b.jpg,0
person,person,"(320, 768, 671, 965)","(396, 766, 504, 769)",6120472221_77e3d3ccc4_b.jpg,0
person,kite,"(462, 800, 258, 511)","(445, 498, 241, 334)",4433556373_ddfabedff5_o.jpg,0
person,bag,"(348, 721, 310, 423)","(424, 522, 282, 361)",5002423744_35fbbc72d0_b.jpg,0
person,person,"(95, 1018, 3, 247)","(199, 1021, 332, 751)",8074966620_aa0239f67a_b.jpg,0
umbrella,person,"(120, 766, 609, 1022)","(2, 334, 135, 1022)",3219963856_5fa77f80f6_b.jpg,0
person,skis,"(138, 638, 721, 895)","(515, 638, 735, 907)",3347618976_d35879f780_o.jpg,0
bike,street,"(224, 625, 451, 1019)","(465, 684, 2, 1024)",4340137750_01465eff6f_b.jpg,0
person,skis,"(2, 168, 50, 117)","(1, 33, 3, 178)",6836771089_63a057a857_b.jpg,0
person,person,"(289, 606, 572, 775)","(309, 621, 766, 887)",4194507127_ce2af2e0a4_b.jpg,0
person,skateboard,"(124, 309, 718, 811)","(207, 256, 239, 314)",8990943637_5bbec8ef7b_b.jpg,0
person,umbrella,"(464, 766, 35, 140)","(363, 540, 1, 214)",6796174521_a37181203d_b.jpg,0
person,sand,"(273, 769, 318, 543)","(287, 772, 6, 949)",5327324595_17ed3f0c00_b.jpg,0
clock,chair,"(110, 313, 290, 454)","(55, 662, 203, 575)",2208557378_fc8513bb35_o.jpg,0
person,bus,"(262, 617, 153, 257)","(16, 623, 136, 1023)",5920945567_d978b5c80c_b.jpg,0
person,bag,"(365, 493, 310, 358)","(439, 476, 340, 360)",260871573_a9a64ec789_o.jpg,0
person,motorcycle,"(628, 890, 368, 503)","(769, 931, 278, 627)",7351203646_b97040e8c0_b.jpg,0
person,skateboard,"(30, 456, 581, 812)","(331, 469, 626, 782)",5450713291_453f531b82_b.jpg,0
person,skateboard,"(252, 503, 273, 432)","(449, 522, 334, 395)",2971338356_6a50d8e6a1_b.jpg,0
hat,person,"(47, 100, 260, 332)","(48, 445, 211, 358)",2797293301_713a9a64ab_o.jpg,0
person,sand,"(122, 736, 547, 886)","(582, 766, 24, 1019)",174733606_147c9f7504_b.jpg,0
person,surfboard,"(222, 516, 229, 348)","(302, 429, 101, 545)",7017097427_40209fd608_b.jpg,0
person,horse,"(46, 403, 538, 698)","(101, 599, 520, 880)",8722022301_af1bc59cf3_b.jpg,0
person,street,"(212, 932, 100, 355)","(758, 1024, 1, 680)",2787814392_2abe0f2c9d_b.jpg,0
person,bag,"(637, 751, 641, 706)","(671, 751, 659, 710)",813811775_b31e363580_b.jpg,0
dog,boat,"(304, 413, 406, 589)","(274, 678, 3, 1021)",6274515664_35f4967bd5_b.jpg,0
person,street,"(285, 433, 64, 122)","(377, 432, 1, 357)",6883648073_b7ce5d4559_b.jpg,0
person,elephant,"(340, 472, 222, 330)","(415, 830, 1, 535)",9210783409_93fee826e5_b.jpg,0
person,phone,"(104, 759, 188, 662)","(278, 328, 427, 457)",5931176358_e5cf96dc70_b.jpg,0
person,horse,"(133, 413, 472, 609)","(198, 536, 310, 738)",2557901800_514be27c44_b.jpg,0
person,boat,"(370, 662, 13, 157)","(241, 266, 604, 968)",4869456397_8f42747a22_b.jpg,0
jacket,person,"(320, 567, 523, 768)","(270, 832, 525, 817)",358180128_51bb8befb2_o.jpg,0
motorcycle,person,"(307, 432, 116, 354)","(236, 416, 178, 282)",8073566196_1479f7842d_b.jpg,0
person,bag,"(130, 333, 833, 912)","(212, 255, 886, 912)",8990943637_5bbec8ef7b_b.jpg,0
person,skateboard,"(31, 444, 407, 585)","(371, 504, 401, 535)",5073960523_d526336526_b.jpg,0
airplane,grass,"(57, 576, 81, 881)","(344, 675, 9, 1024)",7475825432_8de7529419_b.jpg,0
person,grass,"(543, 587, 120, 140)","(484, 610, 1, 611)",7721123202_91089fcbb9_o.jpg,0
person,snowboard,"(572, 743, 194, 355)","(591, 797, 339, 397)",5441798399_947485e6b4_b.jpg,0
person,bike,"(114, 254, 99, 179)","(150, 282, 150, 195)",221833288_151076a9ae_o.jpg,0
