,Active Learning Iteration,Run,Accuracy
0,0,0,0.9088
1,0,1,0.1276
2,0,2,0.4954
3,0,3,0.4954
4,0,4,0.7483
5,0,5,0.4715
6,0,6,0.0957
7,0,7,0.7966
8,0,8,0.8416
9,0,9,0.5098
10,1,0,0.5057
11,1,1,0.5895
12,1,2,0.9496
13,1,3,0.8353
14,1,4,0.4954
15,1,5,0.28
16,1,6,0.2477
17,1,7,0.228
18,1,8,0.8857
19,1,9,0.777
20,2,0,0.0923
21,2,1,0.4954
22,2,2,0.6335
23,2,3,0.2341
24,2,4,0.5046
25,2,5,0.8994
26,2,6,0.8336
27,2,7,0.4752
28,2,8,0.6262
29,2,9,0.1423
30,3,0,0.9318
31,3,1,0.1381
32,3,2,0.2718
33,3,3,0.8634
34,3,4,0.8967
35,3,5,0.9351
36,3,6,0.7291
37,3,7,0.9105
38,3,8,0.9172
39,3,9,0.6299
40,4,0,0.9057
41,4,1,0.8228
42,4,2,0.9448
43,4,3,0.613
44,4,4,0.9384
45,4,5,0.5558
46,4,6,0.5525
47,4,7,0.9123
48,4,8,0.855
49,4,9,0.5086
50,5,0,0.0817
51,5,1,0.8414
52,5,2,0.52
53,5,3,0.9695
54,5,4,0.6804
55,5,5,0.9472
56,5,6,0.9393
57,5,7,0.7813
58,5,8,0.9736
59,5,9,0.8466
60,6,0,0.4675
61,6,1,0.8168
62,6,2,0.7489
63,6,3,0.7779
64,6,4,0.9025
65,6,5,0.9573
66,6,6,0.9465
67,6,7,0.9591
68,6,8,0.9507
69,6,9,0.9268
70,7,0,0.7976
71,7,1,0.9389
72,7,2,0.9319
73,7,3,0.9324
74,7,4,0.8543
75,7,5,0.6195
76,7,6,0.886
77,7,7,0.865
78,7,8,0.9722
79,7,9,0.9473
80,8,0,0.932
81,8,1,0.9734
82,8,2,0.9621
83,8,3,0.9685
84,8,4,0.9718
85,8,5,0.5046
86,8,6,0.964
87,8,7,0.9281
88,8,8,0.4954
89,8,9,0.7686
90,9,0,0.962
91,9,1,0.8434
92,9,2,0.9709
93,9,3,0.9614
94,9,4,0.9761
95,9,5,0.9635
96,9,6,0.9757
97,9,7,0.968
98,9,8,0.7599
99,9,9,0.9663
100,10,0,0.7724
101,10,1,0.9049
102,10,2,0.9315
103,10,3,0.9688
104,10,4,0.8818
105,10,5,0.8008
106,10,6,0.9461
107,10,7,0.9528
108,10,8,0.9506
109,10,9,0.9629
110,11,0,0.9608
111,11,1,0.9724
112,11,2,0.9731
113,11,3,0.9123
114,11,4,0.9657
115,11,5,0.9702
116,11,6,0.9725
117,11,7,0.9492
118,11,8,0.9514
119,11,9,0.7845
120,12,0,0.9654
121,12,1,0.9582
122,12,2,0.9692
123,12,3,0.9361
124,12,4,0.9369
125,12,5,0.9767
126,12,6,0.9623
127,12,7,0.9539
128,12,8,0.9534
129,12,9,0.9259
130,13,0,0.9082
131,13,1,0.9725
132,13,2,0.8765
133,13,3,0.9722
134,13,4,0.9719
135,13,5,0.9732
136,13,6,0.9749
137,13,7,0.9743
138,13,8,0.9678
139,13,9,0.9531
140,14,0,0.962
141,14,1,0.9513
142,14,2,0.9592
143,14,3,0.9697
144,14,4,0.9519
145,14,5,0.9693
146,14,6,0.9604
147,14,7,0.9709
148,14,8,0.9613
149,14,9,0.963
150,15,0,0.9717
151,15,1,0.9078
152,15,2,0.9738
153,15,3,0.9751
154,15,4,0.9646
155,15,5,0.9769
156,15,6,0.9761
157,15,7,0.9741
158,15,8,0.9242
159,15,9,0.9449
160,16,0,0.9598
161,16,1,0.977
162,16,2,0.9669
163,16,3,0.9209
164,16,4,0.952
165,16,5,0.9744
166,16,6,0.9615
167,16,7,0.9694
168,16,8,0.9044
169,16,9,0.9608
170,17,0,0.9602
171,17,1,0.9726
172,17,2,0.9743
173,17,3,0.9765
174,17,4,0.9734
175,17,5,0.9711
176,17,6,0.9663
177,17,7,0.9722
178,17,8,0.9709
179,17,9,0.9537
180,18,0,0.9727
181,18,1,0.9673
182,18,2,0.9494
183,18,3,0.9737
184,18,4,0.9726
185,18,5,0.9771
186,18,6,0.972
187,18,7,0.9729
188,18,8,0.9682
189,18,9,0.9684
190,19,0,0.973
191,19,1,0.943
192,19,2,0.9688
193,19,3,0.9777
194,19,4,0.97
195,19,5,0.9657
196,19,6,0.9736
197,19,7,0.9736
198,19,8,0.9689
199,19,9,0.9524
200,20,0,0.9672
201,20,1,0.9695
202,20,2,0.9629
203,20,3,0.9745
204,20,4,0.9708
205,20,5,0.9756
206,20,6,0.9767
207,20,7,0.9688
208,20,8,0.9627
209,20,9,0.975
210,21,0,0.9654
211,21,1,0.9769
212,21,2,0.9553
213,21,3,0.9757
214,21,4,0.9692
215,21,5,0.9769
216,21,6,0.9769
217,21,7,0.9694
218,21,8,0.9748
219,21,9,0.9675
220,22,0,0.9752
221,22,1,0.9773
222,22,2,0.9682
223,22,3,0.9757
224,22,4,0.9762
225,22,5,0.9749
226,22,6,0.9766
227,22,7,0.9761
228,22,8,0.9419
229,22,9,0.963
230,23,0,0.9658
231,23,1,0.9749
232,23,2,0.9716
233,23,3,0.9762
234,23,4,0.9649
235,23,5,0.9762
236,23,6,0.9751
237,23,7,0.9728
238,23,8,0.9736
239,23,9,0.9714
240,24,0,0.9621
241,24,1,0.9775
242,24,2,0.9766
243,24,3,0.9737
244,24,4,0.974
245,24,5,0.9777
246,24,6,0.9646
247,24,7,0.9655
248,24,8,0.9745
249,24,9,0.9742
250,25,0,0.9704
251,25,1,0.9768
252,25,2,0.9774
253,25,3,0.9764
254,25,4,0.977
255,25,5,0.9774
256,25,6,0.9742
257,25,7,0.974
258,25,8,0.9765
259,25,9,0.9772
260,26,0,0.9746
261,26,1,0.9771
262,26,2,0.9768
263,26,3,0.9776
264,26,4,0.9672
265,26,5,0.9771
266,26,6,0.9742
267,26,7,0.974
268,26,8,0.974
269,26,9,0.9752
270,27,0,0.9757
271,27,1,0.972
272,27,2,0.9767
273,27,3,0.9759
274,27,4,0.9731
275,27,5,0.9751
276,27,6,0.9732
277,27,7,0.9738
278,27,8,0.9661
279,27,9,0.9734
280,28,0,0.9775
281,28,1,0.9748
282,28,2,0.9668
283,28,3,0.9773
284,28,4,0.9701
285,28,5,0.975
286,28,6,0.9709
287,28,7,0.9709
288,28,8,0.9744
289,28,9,0.9717
290,29,0,0.9702
291,29,1,0.9747
292,29,2,0.9757
293,29,3,0.9753
294,29,4,0.976
295,29,5,0.9708
296,29,6,0.9729
297,29,7,0.9763
298,29,8,0.9755
299,29,9,0.9684
300,30,0,0.9739
301,30,1,0.9773
302,30,2,0.9737
303,30,3,0.9753
304,30,4,0.9763
305,30,5,0.967
306,30,6,0.9725
307,30,7,0.9775
308,30,8,0.9746
309,30,9,0.9653
