Number of points acquired,Run,Entropy,Strategy
0,0,0.0,Relative Entropy
0,1,0.0,Relative Entropy
0,2,0.0,Relative Entropy
0,3,0.0,Relative Entropy
0,4,0.0,Relative Entropy
0,5,0.0,Relative Entropy
0,6,0.0,Relative Entropy
0,7,0.0,Relative Entropy
0,8,0.0,Relative Entropy
0,9,0.0,Relative Entropy
1,0,0.6931471805599453,Relative Entropy
1,1,0.6931471805599453,Relative Entropy
1,2,0.6931471805599453,Relative Entropy
1,3,0.6931471805599453,Relative Entropy
1,4,0.6931471805599453,Relative Entropy
1,5,0.6931471805599453,Relative Entropy
1,6,0.6931471805599453,Relative Entropy
1,7,0.6931471805599453,Relative Entropy
1,8,0.6931471805599453,Relative Entropy
1,9,0.6931471805599453,Relative Entropy
2,0,1.0986122886681096,Relative Entropy
2,1,1.0986122886681096,Relative Entropy
2,2,1.0986122886681096,Relative Entropy
2,3,1.0986122886681096,Relative Entropy
2,4,1.0986122886681096,Relative Entropy
2,5,1.0986122886681096,Relative Entropy
2,6,1.0986122886681096,Relative Entropy
2,7,1.0986122886681096,Relative Entropy
2,8,1.0986122886681096,Relative Entropy
2,9,0.6365141682948128,Relative Entropy
3,0,1.0397207708399179,Relative Entropy
3,1,1.0397207708399179,Relative Entropy
3,2,1.3862943611198906,Relative Entropy
3,3,1.0397207708399179,Relative Entropy
3,4,1.0397207708399179,Relative Entropy
3,5,1.0397207708399179,Relative Entropy
3,6,1.0397207708399179,Relative Entropy
3,7,1.0397207708399179,Relative Entropy
3,8,1.0397207708399179,Relative Entropy
3,9,0.6931471805599453,Relative Entropy
4,0,1.3321790402101223,Relative Entropy
4,1,1.3321790402101223,Relative Entropy
4,2,1.3321790402101223,Relative Entropy
4,3,0.9502705392332347,Relative Entropy
4,4,1.3321790402101223,Relative Entropy
4,5,0.9502705392332347,Relative Entropy
4,6,0.9502705392332347,Relative Entropy
4,7,1.3321790402101223,Relative Entropy
4,8,0.9502705392332347,Relative Entropy
4,9,1.0549201679861442,Relative Entropy
5,0,1.3296613488547582,Relative Entropy
5,1,1.3296613488547582,Relative Entropy
5,2,1.2424533248940002,Relative Entropy
5,3,0.8675632284814612,Relative Entropy
5,4,1.3296613488547582,Relative Entropy
5,5,0.8675632284814612,Relative Entropy
5,6,0.8675632284814612,Relative Entropy
5,7,1.3296613488547582,Relative Entropy
5,8,1.0114042647073518,Relative Entropy
5,9,1.0114042647073518,Relative Entropy
6,0,1.2770342594661392,Relative Entropy
6,1,1.2770342594661392,Relative Entropy
6,2,1.475076311054695,Relative Entropy
6,3,0.796311640173813,Relative Entropy
6,4,1.2770342594661392,Relative Entropy
6,5,0.796311640173813,Relative Entropy
6,6,0.796311640173813,Relative Entropy
6,7,1.2770342594661392,Relative Entropy
6,8,0.9556998911125343,Relative Entropy
6,9,0.9556998911125343,Relative Entropy
7,0,1.2130075659799042,Relative Entropy
7,1,1.2130075659799042,Relative Entropy
7,2,1.4941751382893085,Relative Entropy
7,3,0.7356219397587946,Relative Entropy
7,4,1.2130075659799042,Relative Entropy
7,5,0.9002560512685369,Relative Entropy
7,6,0.9002560512685369,Relative Entropy
7,7,1.2130075659799042,Relative Entropy
7,8,0.9002560512685369,Relative Entropy
7,9,0.9002560512685369,Relative Entropy
8,0,1.2730283365896258,Relative Entropy
8,1,1.2730283365896258,Relative Entropy
8,2,1.464816384890813,Relative Entropy
8,3,0.6837389058487535,Relative Entropy
8,4,1.4270610433807247,Relative Entropy
8,5,0.8486855577264172,Relative Entropy
8,6,0.8486855577264172,Relative Entropy
8,7,1.2730283365896258,Relative Entropy
8,8,0.9368883075390159,Relative Entropy
8,9,0.8486855577264172,Relative Entropy
9,0,1.2206072645530175,Relative Entropy
9,1,1.2206072645530175,Relative Entropy
9,2,1.5047882836811908,Relative Entropy
9,3,0.8018185525433373,Relative Entropy
9,4,1.4184836619456564,Relative Entropy
9,5,0.8979457248567797,Relative Entropy
9,6,0.8018185525433373,Relative Entropy
9,7,1.2206072645530175,Relative Entropy
9,8,0.9433483923290393,Relative Entropy
9,9,0.8018185525433373,Relative Entropy
10,0,1.1685184057430877,Relative Entropy
10,1,1.1685184057430877,Relative Entropy
10,2,1.4681399390162087,Relative Entropy
10,3,0.7595473914748635,Relative Entropy
10,4,1.4681399390162087,Relative Entropy
10,5,0.8599672810355049,Relative Entropy
10,6,0.7595473914748635,Relative Entropy
10,7,1.1685184057430877,Relative Entropy
10,8,0.9164648855394713,Relative Entropy
10,9,0.7595473914748635,Relative Entropy
11,0,1.1187433359857524,Relative Entropy
11,1,1.1187433359857524,Relative Entropy
11,2,1.4241299173467734,Relative Entropy
11,3,0.8675632284814612,Relative Entropy
11,4,1.5171063970610277,Relative Entropy
11,5,0.887694275799104,Relative Entropy
11,6,0.8239592165010823,Relative Entropy
11,7,1.1187433359857524,Relative Entropy
11,8,0.887694275799104,Relative Entropy
11,9,0.7214636866925115,Relative Entropy
12,0,1.072016968563193,Relative Entropy
12,1,1.072016968563193,Relative Entropy
12,2,1.4791328074296435,Relative Entropy
12,3,0.9251290835720822,Relative Entropy
12,4,1.5247073930301434,Relative Entropy
12,5,0.8587409130062869,Relative Entropy
12,6,0.7902679680745903,Relative Entropy
12,7,1.072016968563193,Relative Entropy
12,8,0.8587409130062869,Relative Entropy
12,9,0.6870920273799715,Relative Entropy
13,0,1.0285137640248474,Relative Entropy
13,1,1.0285137640248474,Relative Entropy
13,2,1.4944032113796122,Relative Entropy
13,3,0.9556998911125343,Relative Entropy
13,4,1.5367224694372197,Relative Entropy
13,5,0.8760057656431737,Relative Entropy
13,6,0.7589367727620595,Relative Entropy
13,7,1.0285137640248474,Relative Entropy
13,8,0.8304717124362917,Relative Entropy
13,9,0.6559757323365467,Relative Entropy
14,0,1.0775733728921972,Relative Entropy
14,1,1.0775733728921972,Relative Entropy
14,2,1.4897503188505912,Relative Entropy
14,3,0.9701157839869381,Relative Entropy
14,4,1.5292482930376914,Relative Entropy
14,5,0.8532361505557784,Relative Entropy
14,6,0.7298712099831165,Relative Entropy
14,7,1.0775733728921972,Relative Entropy
14,8,0.9276173343271816,Relative Entropy
14,9,0.6277052571971504,Relative Entropy
15,0,1.157373298222901,Relative Entropy
15,1,1.157373298222901,Relative Entropy
15,2,1.474056825273205,Relative Entropy
15,3,0.9743147528693494,Relative Entropy
15,4,1.5110861760736112,Relative Entropy
15,5,0.9470571522825082,Relative Entropy
15,6,0.7029189307735104,Relative Entropy
15,7,1.157373298222901,Relative Entropy
15,8,0.9840865030829146,Relative Entropy
15,9,0.6019239717322894,Relative Entropy
16,0,1.200684562341244,Relative Entropy
16,1,1.200684562341244,Relative Entropy
16,2,1.4520440731936837,Relative Entropy
16,3,0.9718487712358765,Relative Entropy
16,4,1.5136026783424539,Relative Entropy
16,5,1.0027399543973452,Relative Entropy
16,6,0.677908725644198,Relative Entropy
16,7,1.1217853135747708,Relative Entropy
16,8,1.0176029861159162,Relative Entropy
16,9,0.5783252866601273,Relative Entropy
17,0,1.223575654138956,Relative Entropy
17,1,1.223575654138956,Relative Entropy
17,2,1.4264444338582805,Relative Entropy
17,3,0.9649629230074277,Relative Entropy
17,4,1.4938857262110656,Relative Entropy
17,5,1.036627968858607,Relative Entropy
17,6,0.7298429194806347,Relative Entropy
17,7,1.087856558505821,Relative Entropy
17,8,1.1756286420636592,Relative Entropy
17,9,0.5566469035821068,Relative Entropy
18,0,1.2336841378337724,Relative Entropy
18,1,1.2336841378337724,Relative Entropy
18,2,1.398920393759419,Relative Entropy
18,3,0.9551311954514641,Relative Entropy
18,4,1.4703567266216695,Relative Entropy
18,5,1.0565758044102838,Relative Entropy
18,6,0.708018976056273,Relative Entropy
18,7,1.1184066545611027,Relative Entropy
18,8,1.1882606527098067,Relative Entropy
18,9,0.5366645624845252,Relative Entropy
19,0,1.2353468116280648,Relative Entropy
19,1,1.2353468116280648,Relative Entropy
19,2,1.4320124921730986,Relative Entropy
19,3,0.9433483923290392,Relative Entropy
19,4,1.4702535277519118,Relative Entropy
19,5,1.0670938948757507,Relative Entropy
19,6,0.6874357505033554,Relative Entropy
19,7,1.135900959294373,Relative Entropy
19,8,1.202262257535642,Relative Entropy
19,9,0.5181862130502128,Relative Entropy
20,0,1.231259415507357,Relative Entropy
20,1,1.231259415507357,Relative Entropy
20,2,1.448154046957086,Relative Entropy
20,3,0.9302998331833918,Relative Entropy
20,4,1.448154046957086,Relative Entropy
20,5,1.0710185424099148,Relative Entropy
20,6,0.6680178186607535,Relative Entropy
20,7,1.1445227454191282,Relative Entropy
20,8,1.2704417386050006,Relative Entropy
20,9,0.6189407438569727,Relative Entropy
21,0,1.2124354897014127,Relative Entropy
21,1,1.2734030910209602,Relative Entropy
21,2,1.4245322229637538,Relative Entropy
21,3,0.9164648855394713,Relative Entropy
21,4,1.4245322229637538,Relative Entropy
21,5,1.2072432805590583,Relative Entropy
21,6,0.6496877127476234,Relative Entropy
21,7,1.1906089968458329,Relative Entropy
21,8,1.2498367981128,Relative Entropy
21,9,0.6001660731596457,Relative Entropy
22,0,1.1928702910903024,Relative Entropy
22,1,1.2658321610824836,Relative Entropy
22,2,1.4326578165217017,Relative Entropy
22,3,0.9021825489048647,Relative Entropy
22,4,1.4239032454127063,Relative Entropy
22,5,1.202548864118925,Relative Entropy
22,6,0.6323694730330398,Relative Entropy
22,7,1.219890884548721,Relative Entropy
22,8,1.2568032738161419,Relative Entropy
22,9,0.5825842452160127,Relative Entropy
23,0,1.17295457751597,Relative Entropy
23,1,1.292571837016756,Relative Entropy
23,2,1.410717708669371,Relative Entropy
23,3,0.887694275799104,Relative Entropy
23,4,1.402327911356584,Relative Entropy
23,5,1.1948358322553436,Relative Entropy
23,6,0.6159905783211985,Relative Entropy
23,7,1.2380167995379123,Relative Entropy
23,8,1.2650013752730702,Relative Entropy
23,9,0.5660857389596289,Relative Entropy
24,0,1.1529620681677453,Relative Entropy
24,1,1.2832335567667672,Relative Entropy
24,2,1.43225952491776,Relative Entropy
24,3,0.8731726364245316,Relative Entropy
24,4,1.380139059802829,Relative Entropy
24,5,1.1849533573427233,Relative Entropy
24,6,0.6004829082458254,Relative Entropy
24,7,1.2483055851626557,Relative Entropy
24,8,1.2483055851626559,Relative Entropy
24,9,0.5505734282909341,Relative Entropy
25,0,1.1330848116705192,Relative Entropy
25,1,1.300670814166606,Relative Entropy
25,2,1.411311746882919,Relative Entropy
25,3,0.8587409130062869,Relative Entropy
25,4,1.3796644859194374,Relative Entropy
25,5,1.1735173549838454,Relative Entropy
25,6,0.5857831289187342,Relative Entropy
25,7,1.2529015295346553,Relative Entropy
25,8,1.2309316230479221,Relative Entropy
25,9,0.5359610497090694,Relative Entropy
26,0,1.113457040558234,Relative Entropy
26,1,1.290507289925023,Relative Entropy
26,2,1.4173267984932005,Relative Entropy
26,3,0.8444867347630605,Relative Entropy
26,4,1.3594937122514739,Relative Entropy
26,5,1.1609816602394223,Relative Entropy
26,6,0.5718327393983101,Relative Entropy
26,7,1.2941845428361094,Relative Entropy
26,8,1.213179471972606,Relative Entropy
26,9,0.5221718405002467,Relative Entropy
27,0,1.1595688747491681,Relative Entropy
27,1,1.2788153807115297,Relative Entropy
27,2,1.397854380908261,Relative Entropy
27,3,0.8304717124362917,Relative Entropy
27,4,1.3391071172869518,Relative Entropy
27,5,1.2240836202904763,Relative Entropy
27,6,0.558577924073418,Relative Entropy
27,7,1.2943911524754388,Relative Entropy
27,8,1.221398657786797,Relative Entropy
27,9,0.509137344082687,Relative Entropy
28,0,1.1656420685388706,Relative Entropy
28,1,1.266022470618998,Relative Entropy
28,2,1.400653835245327,Relative Entropy
28,3,0.816738336927131,Relative Entropy
28,4,1.338989337196041,Relative Entropy
28,5,1.2103011139066,Relative Entropy
28,6,0.545969299888879,Relative Entropy
28,7,1.2914936617733463,Relative Entropy
28,8,1.2302827922314998,Relative Entropy
28,9,0.4967963698504464,Relative Entropy
29,0,1.1979540596469644,Relative Entropy
29,1,1.2524510726221292,Relative Entropy
29,2,1.3996380770773302,Relative Entropy
29,3,0.8033149761408755,Relative Entropy
29,4,1.320419073044282,Relative Entropy
29,5,1.1960204571978226,Relative Entropy
29,6,0.533961612789336,Relative Entropy
29,7,1.319610599773624,Relative Entropy
29,8,1.2153360795785588,Relative Entropy
29,9,0.48509409130221154,Relative Entropy
0,0,0.0,Margin
0,1,0.0,Margin
0,2,0.0,Margin
0,3,0.0,Margin
0,4,0.0,Margin
0,5,0.0,Margin
0,6,0.0,Margin
0,7,0.0,Margin
0,8,0.0,Margin
0,9,0.0,Margin
1,0,0.6931471805599453,Margin
1,1,0.6931471805599453,Margin
1,2,0.6931471805599453,Margin
1,3,0.6931471805599453,Margin
1,4,0.6931471805599453,Margin
1,5,0.6931471805599453,Margin
1,6,0.6931471805599453,Margin
1,7,0.6931471805599453,Margin
1,8,0.6931471805599453,Margin
1,9,0.6931471805599453,Margin
2,0,0.6365141682948128,Margin
2,1,1.0986122886681096,Margin
2,2,1.0986122886681096,Margin
2,3,1.0986122886681096,Margin
2,4,1.0986122886681096,Margin
2,5,1.0986122886681096,Margin
2,6,0.6365141682948128,Margin
2,7,1.0986122886681096,Margin
2,8,0.6365141682948128,Margin
2,9,1.0986122886681096,Margin
3,0,0.5623351446188083,Margin
3,1,1.0397207708399179,Margin
3,2,1.3862943611198906,Margin
3,3,1.3862943611198906,Margin
3,4,1.0397207708399179,Margin
3,5,1.3862943611198906,Margin
3,6,0.5623351446188083,Margin
3,7,1.3862943611198906,Margin
3,8,0.5623351446188083,Margin
3,9,1.3862943611198906,Margin
4,0,0.5004024235381879,Margin
4,1,0.9502705392332347,Margin
4,2,1.3321790402101223,Margin
4,3,1.3321790402101223,Margin
4,4,1.0549201679861442,Margin
4,5,1.3321790402101223,Margin
4,6,0.5004024235381879,Margin
4,7,1.3321790402101223,Margin
4,8,0.5004024235381879,Margin
4,9,1.3321790402101223,Margin
5,0,0.45056120886630463,Margin
5,1,0.8675632284814612,Margin
5,2,1.2424533248940002,Margin
5,3,1.3296613488547582,Margin
5,4,1.0114042647073518,Margin
5,5,1.2424533248940002,Margin
5,6,0.45056120886630463,Margin
5,7,1.2424533248940002,Margin
5,8,0.45056120886630463,Margin
5,9,1.2424533248940002,Margin
6,0,0.410116318288409,Margin
6,1,0.796311640173813,Margin
6,2,1.277034259466139,Margin
6,3,1.2770342594661392,Margin
6,4,0.9556998911125343,Margin
6,5,1.277034259466139,Margin
6,6,0.410116318288409,Margin
6,7,1.277034259466139,Margin
6,8,0.410116318288409,Margin
6,9,1.277034259466139,Margin
7,0,0.37677016125643675,Margin
7,1,0.7356219397587946,Margin
7,2,1.2130075659799042,Margin
7,3,1.2130075659799042,Margin
7,4,1.2130075659799042,Margin
7,5,1.2130075659799042,Margin
7,6,0.37677016125643675,Margin
7,7,1.2130075659799042,Margin
7,8,0.37677016125643675,Margin
7,9,1.2130075659799042,Margin
8,0,0.34883209584303193,Margin
8,1,0.6837389058487535,Margin
8,2,1.1490596969706202,Margin
8,3,1.1490596969706204,Margin
8,4,1.1490596969706202,Margin
8,5,1.1490596969706202,Margin
8,6,0.34883209584303193,Margin
8,7,1.1490596969706202,Margin
8,8,0.34883209584303193,Margin
8,9,1.1490596969706202,Margin
9,0,0.3250829733914482,Margin
9,1,0.639031859650177,Margin
9,2,1.0888999753452235,Margin
9,3,1.0888999753452235,Margin
9,4,1.0888999753452238,Margin
9,5,1.0888999753452235,Margin
9,6,0.3250829733914482,Margin
9,7,1.0888999753452235,Margin
9,8,0.3250829733914482,Margin
9,9,1.0888999753452235,Margin
10,0,0.30463609734923813,Margin
10,1,0.6001660731596457,Margin
10,2,1.1685184057430877,Margin
