Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
1,Accuracy,0.9727,2,Active WeaSuL,Discriminative,n
2,Accuracy,0.9761,2,Active WeaSuL,Discriminative,n
3,Accuracy,0.9725,2,Active WeaSuL,Discriminative,n
4,Accuracy,0.9771,2,Active WeaSuL,Discriminative,n
5,Accuracy,0.9776,2,Active WeaSuL,Discriminative,n
6,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
7,Accuracy,0.9776,2,Active WeaSuL,Discriminative,n
8,Accuracy,0.9769,2,Active WeaSuL,Discriminative,n
9,Accuracy,0.977,2,Active WeaSuL,Discriminative,n
10,Accuracy,0.9774,2,Active WeaSuL,Discriminative,n
11,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
12,Accuracy,0.9769,2,Active WeaSuL,Discriminative,n
13,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
14,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
15,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
16,Accuracy,0.9767,2,Active WeaSuL,Discriminative,n
17,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
18,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
19,Accuracy,0.9771,2,Active WeaSuL,Discriminative,n
20,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
21,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
22,Accuracy,0.977,2,Active WeaSuL,Discriminative,n
23,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
24,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
25,Accuracy,0.976,2,Active WeaSuL,Discriminative,n
26,Accuracy,0.9768,2,Active WeaSuL,Discriminative,n
27,Accuracy,0.9761,2,Active WeaSuL,Discriminative,n
28,Accuracy,0.975,2,Active WeaSuL,Discriminative,n
29,Accuracy,0.9762,2,Active WeaSuL,Discriminative,n
30,Accuracy,0.9753,2,Active WeaSuL,Discriminative,n
0,Accuracy,0.8723,3,Active WeaSuL,Discriminative,n
1,Accuracy,0.9704,3,Active WeaSuL,Discriminative,n
2,Accuracy,0.9766,3,Active WeaSuL,Discriminative,n
3,Accuracy,0.9724,3,Active WeaSuL,Discriminative,n
4,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
5,Accuracy,0.9741,3,Active WeaSuL,Discriminative,n
6,Accuracy,0.9767,3,Active WeaSuL,Discriminative,n
7,Accuracy,0.9775,3,Active WeaSuL,Discriminative,n
8,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
9,Accuracy,0.9751,3,Active WeaSuL,Discriminative,n
10,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
11,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
12,Accuracy,0.9756,3,Active WeaSuL,Discriminative,n
13,Accuracy,0.9752,3,Active WeaSuL,Discriminative,n
14,Accuracy,0.9769,3,Active WeaSuL,Discriminative,n
15,Accuracy,0.9768,3,Active WeaSuL,Discriminative,n
16,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
17,Accuracy,0.977,3,Active WeaSuL,Discriminative,n
18,Accuracy,0.9772,3,Active WeaSuL,Discriminative,n
19,Accuracy,0.9773,3,Active WeaSuL,Discriminative,n
20,Accuracy,0.9775,3,Active WeaSuL,Discriminative,n
21,Accuracy,0.9779,3,Active WeaSuL,Discriminative,n
22,Accuracy,0.9779,3,Active WeaSuL,Discriminative,n
23,Accuracy,0.9774,3,Active WeaSuL,Discriminative,n
24,Accuracy,0.9777,3,Active WeaSuL,Discriminative,n
25,Accuracy,0.9773,3,Active WeaSuL,Discriminative,n
26,Accuracy,0.9778,3,Active WeaSuL,Discriminative,n
27,Accuracy,0.9771,3,Active WeaSuL,Discriminative,n
28,Accuracy,0.977,3,Active WeaSuL,Discriminative,n
29,Accuracy,0.9777,3,Active WeaSuL,Discriminative,n
30,Accuracy,0.9772,3,Active WeaSuL,Discriminative,n
0,Accuracy,0.88,4,Active WeaSuL,Discriminative,n
1,Accuracy,0.9465,4,Active WeaSuL,Discriminative,n
2,Accuracy,0.9755,4,Active WeaSuL,Discriminative,n
3,Accuracy,0.9728,4,Active WeaSuL,Discriminative,n
4,Accuracy,0.9721,4,Active WeaSuL,Discriminative,n
5,Accuracy,0.9719,4,Active WeaSuL,Discriminative,n
6,Accuracy,0.9767,4,Active WeaSuL,Discriminative,n
7,Accuracy,0.9755,4,Active WeaSuL,Discriminative,n
8,Accuracy,0.9754,4,Active WeaSuL,Discriminative,n
9,Accuracy,0.975,4,Active WeaSuL,Discriminative,n
10,Accuracy,0.9748,4,Active WeaSuL,Discriminative,n
11,Accuracy,0.977,4,Active WeaSuL,Discriminative,n
12,Accuracy,0.9779,4,Active WeaSuL,Discriminative,n
13,Accuracy,0.9778,4,Active WeaSuL,Discriminative,n
14,Accuracy,0.9772,4,Active WeaSuL,Discriminative,n
15,Accuracy,0.9772,4,Active WeaSuL,Discriminative,n
16,Accuracy,0.9774,4,Active WeaSuL,Discriminative,n
17,Accuracy,0.9765,4,Active WeaSuL,Discriminative,n
18,Accuracy,0.9775,4,Active WeaSuL,Discriminative,n
19,Accuracy,0.9774,4,Active WeaSuL,Discriminative,n
20,Accuracy,0.9773,4,Active WeaSuL,Discriminative,n
21,Accuracy,0.9774,4,Active WeaSuL,Discriminative,n
22,Accuracy,0.9767,4,Active WeaSuL,Discriminative,n
23,Accuracy,0.9765,4,Active WeaSuL,Discriminative,n
24,Accuracy,0.9767,4,Active WeaSuL,Discriminative,n
25,Accuracy,0.9765,4,Active WeaSuL,Discriminative,n
26,Accuracy,0.9761,4,Active WeaSuL,Discriminative,n
27,Accuracy,0.9761,4,Active WeaSuL,Discriminative,n
28,Accuracy,0.976,4,Active WeaSuL,Discriminative,n
29,Accuracy,0.977,4,Active WeaSuL,Discriminative,n
30,Accuracy,0.9774,4,Active WeaSuL,Discriminative,n
0,Accuracy,0.8824,5,Active WeaSuL,Discriminative,n
1,Accuracy,0.9741,5,Active WeaSuL,Discriminative,n
2,Accuracy,0.8798,5,Active WeaSuL,Discriminative,n
3,Accuracy,0.9019,5,Active WeaSuL,Discriminative,n
4,Accuracy,0.9265,5,Active WeaSuL,Discriminative,n
5,Accuracy,0.9604,5,Active WeaSuL,Discriminative,n
6,Accuracy,0.9642,5,Active WeaSuL,Discriminative,n
7,Accuracy,0.9671,5,Active WeaSuL,Discriminative,n
8,Accuracy,0.9696,5,Active WeaSuL,Discriminative,n
9,Accuracy,0.9767,5,Active WeaSuL,Discriminative,n
10,Accuracy,0.9746,5,Active WeaSuL,Discriminative,n
11,Accuracy,0.9778,5,Active WeaSuL,Discriminative,n
12,Accuracy,0.9756,5,Active WeaSuL,Discriminative,n
13,Accuracy,0.9772,5,Active WeaSuL,Discriminative,n
14,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
15,Accuracy,0.9778,5,Active WeaSuL,Discriminative,n
16,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
17,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
18,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
19,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
20,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
21,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
22,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
23,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
24,Accuracy,0.9771,5,Active WeaSuL,Discriminative,n
25,Accuracy,0.9773,5,Active WeaSuL,Discriminative,n
26,Accuracy,0.9769,5,Active WeaSuL,Discriminative,n
27,Accuracy,0.9772,5,Active WeaSuL,Discriminative,n
28,Accuracy,0.9772,5,Active WeaSuL,Discriminative,n
29,Accuracy,0.9772,5,Active WeaSuL,Discriminative,n
30,Accuracy,0.9773,5,Active WeaSuL,Discriminative,n
0,Accuracy,0.8919,6,Active WeaSuL,Discriminative,n
1,Accuracy,0.9758,6,Active WeaSuL,Discriminative,n
2,Accuracy,0.9761,6,Active WeaSuL,Discriminative,n
3,Accuracy,0.9653,6,Active WeaSuL,Discriminative,n
4,Accuracy,0.9662,6,Active WeaSuL,Discriminative,n
5,Accuracy,0.9673,6,Active WeaSuL,Discriminative,n
6,Accuracy,0.9627,6,Active WeaSuL,Discriminative,n
7,Accuracy,0.9614,6,Active WeaSuL,Discriminative,n
8,Accuracy,0.9644,6,Active WeaSuL,Discriminative,n
9,Accuracy,0.9631,6,Active WeaSuL,Discriminative,n
10,Accuracy,0.9713,6,Active WeaSuL,Discriminative,n
11,Accuracy,0.9743,6,Active WeaSuL,Discriminative,n
12,Accuracy,0.9736,6,Active WeaSuL,Discriminative,n
13,Accuracy,0.9752,6,Active WeaSuL,Discriminative,n
14,Accuracy,0.9769,6,Active WeaSuL,Discriminative,n
15,Accuracy,0.9771,6,Active WeaSuL,Discriminative,n
16,Accuracy,0.9777,6,Active WeaSuL,Discriminative,n
17,Accuracy,0.9777,6,Active WeaSuL,Discriminative,n
18,Accuracy,0.978,6,Active WeaSuL,Discriminative,n
19,Accuracy,0.9775,6,Active WeaSuL,Discriminative,n
20,Accuracy,0.9776,6,Active WeaSuL,Discriminative,n
21,Accuracy,0.977,6,Active WeaSuL,Discriminative,n
22,Accuracy,0.9776,6,Active WeaSuL,Discriminative,n
23,Accuracy,0.9776,6,Active WeaSuL,Discriminative,n
24,Accuracy,0.9772,6,Active WeaSuL,Discriminative,n
25,Accuracy,0.9777,6,Active WeaSuL,Discriminative,n
26,Accuracy,0.9776,6,Active WeaSuL,Discriminative,n
27,Accuracy,0.9777,6,Active WeaSuL,Discriminative,n
28,Accuracy,0.9778,6,Active WeaSuL,Discriminative,n
29,Accuracy,0.9775,6,Active WeaSuL,Discriminative,n
30,Accuracy,0.9773,6,Active WeaSuL,Discriminative,n
0,Accuracy,0.9213,7,Active WeaSuL,Discriminative,n
1,Accuracy,0.9771,7,Active WeaSuL,Discriminative,n
2,Accuracy,0.9756,7,Active WeaSuL,Discriminative,n
3,Accuracy,0.9726,7,Active WeaSuL,Discriminative,n
4,Accuracy,0.9772,7,Active WeaSuL,Discriminative,n
5,Accuracy,0.9774,7,Active WeaSuL,Discriminative,n
6,Accuracy,0.9767,7,Active WeaSuL,Discriminative,n
7,Accuracy,0.9741,7,Active WeaSuL,Discriminative,n
8,Accuracy,0.9741,7,Active WeaSuL,Discriminative,n
9,Accuracy,0.9745,7,Active WeaSuL,Discriminative,n
10,Accuracy,0.9745,7,Active WeaSuL,Discriminative,n
11,Accuracy,0.9746,7,Active WeaSuL,Discriminative,n
12,Accuracy,0.9752,7,Active WeaSuL,Discriminative,n
13,Accuracy,0.975,7,Active WeaSuL,Discriminative,n
14,Accuracy,0.9747,7,Active WeaSuL,Discriminative,n
15,Accuracy,0.9751,7,Active WeaSuL,Discriminative,n
16,Accuracy,0.9751,7,Active WeaSuL,Discriminative,n
17,Accuracy,0.9751,7,Active WeaSuL,Discriminative,n
18,Accuracy,0.9753,7,Active WeaSuL,Discriminative,n
19,Accuracy,0.9755,7,Active WeaSuL,Discriminative,n
20,Accuracy,0.9759,7,Active WeaSuL,Discriminative,n
21,Accuracy,0.9759,7,Active WeaSuL,Discriminative,n
22,Accuracy,0.9761,7,Active WeaSuL,Discriminative,n
23,Accuracy,0.976,7,Active WeaSuL,Discriminative,n
24,Accuracy,0.9764,7,Active WeaSuL,Discriminative,n
25,Accuracy,0.9764,7,Active WeaSuL,Discriminative,n
26,Accuracy,0.9762,7,Active WeaSuL,Discriminative,n
27,Accuracy,0.9768,7,Active WeaSuL,Discriminative,n
28,Accuracy,0.9766,7,Active WeaSuL,Discriminative,n
29,Accuracy,0.9766,7,Active WeaSuL,Discriminative,n
30,Accuracy,0.9758,7,Active WeaSuL,Discriminative,n
0,Accuracy,0.9015,8,Active WeaSuL,Discriminative,n
1,Accuracy,0.9772,8,Active WeaSuL,Discriminative,n
2,Accuracy,0.9767,8,Active WeaSuL,Discriminative,n
3,Accuracy,0.9657,8,Active WeaSuL,Discriminative,n
4,Accuracy,0.9659,8,Active WeaSuL,Discriminative,n
5,Accuracy,0.9675,8,Active WeaSuL,Discriminative,n
6,Accuracy,0.9683,8,Active WeaSuL,Discriminative,n
7,Accuracy,0.9649,8,Active WeaSuL,Discriminative,n
8,Accuracy,0.9654,8,Active WeaSuL,Discriminative,n
9,Accuracy,0.9657,8,Active WeaSuL,Discriminative,n
10,Accuracy,0.9657,8,Active WeaSuL,Discriminative,n
11,Accuracy,0.9663,8,Active WeaSuL,Discriminative,n
12,Accuracy,0.967,8,Active WeaSuL,Discriminative,n
13,Accuracy,0.9677,8,Active WeaSuL,Discriminative,n
14,Accuracy,0.968,8,Active WeaSuL,Discriminative,n
15,Accuracy,0.9686,8,Active WeaSuL,Discriminative,n
16,Accuracy,0.9657,8,Active WeaSuL,Discriminative,n
17,Accuracy,0.9658,8,Active WeaSuL,Discriminative,n
18,Accuracy,0.9664,8,Active WeaSuL,Discriminative,n
19,Accuracy,0.9667,8,Active WeaSuL,Discriminative,n
20,Accuracy,0.9674,8,Active WeaSuL,Discriminative,n
21,Accuracy,0.9679,8,Active WeaSuL,Discriminative,n
22,Accuracy,0.9684,8,Active WeaSuL,Discriminative,n
23,Accuracy,0.9682,8,Active WeaSuL,Discriminative,n
24,Accuracy,0.9686,8,Active WeaSuL,Discriminative,n
25,Accuracy,0.966,8,Active WeaSuL,Discriminative,n
26,Accuracy,0.9667,8,Active WeaSuL,Discriminative,n
27,Accuracy,0.967,8,Active WeaSuL,Discriminative,n
28,Accuracy,0.9671,8,Active WeaSuL,Discriminative,n
29,Accuracy,0.9679,8,Active WeaSuL,Discriminative,n
30,Accuracy,0.968,8,Active WeaSuL,Discriminative,n
0,Accuracy,0.9114,9,Active WeaSuL,Discriminative,n
1,Accuracy,0.9779,9,Active WeaSuL,Discriminative,n
2,Accuracy,0.9767,9,Active WeaSuL,Discriminative,n
3,Accuracy,0.9657,9,Active WeaSuL,Discriminative,n
4,Accuracy,0.9664,9,Active WeaSuL,Discriminative,n
5,Accuracy,0.9672,9,Active WeaSuL,Discriminative,n
6,Accuracy,0.9683,9,Active WeaSuL,Discriminative,n
7,Accuracy,0.9771,9,Active WeaSuL,Discriminative,n
8,Accuracy,0.9773,9,Active WeaSuL,Discriminative,n
9,Accuracy,0.9763,9,Active WeaSuL,Discriminative,n
10,Accuracy,0.9761,9,Active WeaSuL,Discriminative,n
11,Accuracy,0.9756,9,Active WeaSuL,Discriminative,n
12,Accuracy,0.9748,9,Active WeaSuL,Discriminative,n
13,Accuracy,0.9749,9,Active WeaSuL,Discriminative,n
14,Accuracy,0.9734,9,Active WeaSuL,Discriminative,n
15,Accuracy,0.9727,9,Active WeaSuL,Discriminative,n
16,Accuracy,0.9727,9,Active WeaSuL,Discriminative,n
17,Accuracy,0.9723,9,Active WeaSuL,Discriminative,n
18,Accuracy,0.9723,9,Active WeaSuL,Discriminative,n
19,Accuracy,0.9755,9,Active WeaSuL,Discriminative,n
20,Accuracy,0.9743,9,Active WeaSuL,Discriminative,n
21,Accuracy,0.9748,9,Active WeaSuL,Discriminative,n
22,Accuracy,0.9738,9,Active WeaSuL,Discriminative,n
23,Accuracy,0.9731,9,Active WeaSuL,Discriminative,n
24,Accuracy,0.9754,9,Active WeaSuL,Discriminative,n
25,Accuracy,0.9756,9,Active WeaSuL,Discriminative,n
26,Accuracy,0.9756,9,Active WeaSuL,Discriminative,n
27,Accuracy,0.9755,9,Active WeaSuL,Discriminative,n
28,Accuracy,0.9755,9,Active WeaSuL,Discriminative,n
29,Accuracy,0.9755,9,Active WeaSuL,Discriminative,n
30,Accuracy,0.9767,9,Active WeaSuL,Discriminative,n
0,Accuracy,0.9015,0,Nashaat et al.,Generative,n
1,Accuracy,0.9015,0,Nashaat et al.,Generative,n
2,Accuracy,0.9015,0,Nashaat et al.,Generative,n
3,Accuracy,0.9015,0,Nashaat et al.,Generative,n
4,Accuracy,0.9015,0,Nashaat et al.,Generative,n
5,Accuracy,0.9015,0,Nashaat et al.,Generative,n
6,Accuracy,0.9015,0,Nashaat et al.,Generative,n
7,Accuracy,0.9015,0,Nashaat et al.,Generative,n
8,Accuracy,0.9015,0,Nashaat et al.,Generative,n
9,Accuracy,0.9015,0,Nashaat et al.,Generative,n
10,Accuracy,0.6523,0,Nashaat et al.,Generative,n
11,Accuracy,0.8199,0,Nashaat et al.,Generative,n
12,Accuracy,0.9017,0,Nashaat et al.,Generative,n
13,Accuracy,0.9018,0,Nashaat et al.,Generative,n
14,Accuracy,0.9018,0,Nashaat et al.,Generative,n
15,Accuracy,0.9018,0,Nashaat et al.,Generative,n
16,Accuracy,0.9018,0,Nashaat et al.,Generative,n
17,Accuracy,0.8203,0,Nashaat et al.,Generative,n
18,Accuracy,0.6524,0,Nashaat et al.,Generative,n
19,Accuracy,0.8204,0,Nashaat et al.,Generative,n
20,Accuracy,0.9021,0,Nashaat et al.,Generative,n
21,Accuracy,0.9021,0,Nashaat et al.,Generative,n
22,Accuracy,0.9021,0,Nashaat et al.,Generative,n
23,Accuracy,0.9022,0,Nashaat et al.,Generative,n
24,Accuracy,0.8207,0,Nashaat et al.,Generative,n
25,Accuracy,0.8207,0,Nashaat et al.,Generative,n
26,Accuracy,0.9024,0,Nashaat et al.,Generative,n
27,Accuracy,0.9024,0,Nashaat et al.,Generative,n
28,Accuracy,0.9024,0,Nashaat et al.,Generative,n
29,Accuracy,0.7159,0,Nashaat et al.,Generative,n
30,Accuracy,0.6527,0,Nashaat et al.,Generative,n
0,Accuracy,0.8189,1,Nashaat et al.,Generative,n
1,Accuracy,0.9015,1,Nashaat et al.,Generative,n
2,Accuracy,0.9015,1,Nashaat et al.,Generative,n
3,Accuracy,0.8192,1,Nashaat et al.,Generative,n
4,Accuracy,0.9015,1,Nashaat et al.,Generative,n
5,Accuracy,0.9015,1,Nashaat et al.,Generative,n
6,Accuracy,0.9015,1,Nashaat et al.,Generative,n
7,Accuracy,0.9015,1,Nashaat et al.,Generative,n
8,Accuracy,0.9015,1,Nashaat et al.,Generative,n
9,Accuracy,0.9015,1,Nashaat et al.,Generative,n
10,Accuracy,0.6525,1,Nashaat et al.,Generative,n
11,Accuracy,0.6525,1,Nashaat et al.,Generative,n
12,Accuracy,0.7147,1,Nashaat et al.,Generative,n
13,Accuracy,0.6525,1,Nashaat et al.,Generative,n
14,Accuracy,0.6525,1,Nashaat et al.,Generative,n
15,Accuracy,0.6525,1,Nashaat et al.,Generative,n
16,Accuracy,0.9017,1,Nashaat et al.,Generative,n
17,Accuracy,0.9018,1,Nashaat et al.,Generative,n
18,Accuracy,0.9642,1,Nashaat et al.,Generative,n
19,Accuracy,0.9019,1,Nashaat et al.,Generative,n
20,Accuracy,0.9019,1,Nashaat et al.,Generative,n
21,Accuracy,0.6526,1,Nashaat et al.,Generative,n
22,Accuracy,0.6526,1,Nashaat et al.,Generative,n
23,Accuracy,0.902,1,Nashaat et al.,Generative,n
24,Accuracy,0.8206,1,Nashaat et al.,Generative,n
25,Accuracy,0.8207,1,Nashaat et al.,Generative,n
26,Accuracy,0.902,1,Nashaat et al.,Generative,n
27,Accuracy,0.9021,1,Nashaat et al.,Generative,n
28,Accuracy,0.9021,1,Nashaat et al.,Generative,n
29,Accuracy,0.9021,1,Nashaat et al.,Generative,n
30,Accuracy,0.9021,1,Nashaat et al.,Generative,n
0,Accuracy,0.9015,2,Nashaat et al.,Generative,n
1,Accuracy,0.8190000000000001,2,Nashaat et al.,Generative,n
2,Accuracy,0.9015,2,Nashaat et al.,Generative,n
3,Accuracy,0.9015,2,Nashaat et al.,Generative,n
4,Accuracy,0.9015,2,Nashaat et al.,Generative,n
5,Accuracy,0.9015,2,Nashaat et al.,Generative,n
6,Accuracy,0.9015,2,Nashaat et al.,Generative,n
7,Accuracy,0.9015,2,Nashaat et al.,Generative,n
8,Accuracy,0.8197,2,Nashaat et al.,Generative,n
9,Accuracy,0.9015,2,Nashaat et al.,Generative,n
10,Accuracy,0.6525,2,Nashaat et al.,Generative,n
11,Accuracy,0.6525,2,Nashaat et al.,Generative,n
12,Accuracy,0.9017,2,Nashaat et al.,Generative,n
13,Accuracy,0.9017,2,Nashaat et al.,Generative,n
14,Accuracy,0.7147,2,Nashaat et al.,Generative,n
15,Accuracy,0.8204,2,Nashaat et al.,Generative,n
16,Accuracy,0.9018,2,Nashaat et al.,Generative,n
17,Accuracy,0.9018,2,Nashaat et al.,Generative,n
18,Accuracy,0.9018,2,Nashaat et al.,Generative,n
19,Accuracy,0.9018,2,Nashaat et al.,Generative,n
20,Accuracy,0.9018,2,Nashaat et al.,Generative,n
21,Accuracy,0.7240000000000001,2,Nashaat et al.,Generative,n
22,Accuracy,0.9019,2,Nashaat et al.,Generative,n
23,Accuracy,0.7152,2,Nashaat et al.,Generative,n
24,Accuracy,0.902,2,Nashaat et al.,Generative,n
25,Accuracy,0.8212,2,Nashaat et al.,Generative,n
26,Accuracy,0.8213,2,Nashaat et al.,Generative,n
27,Accuracy,0.9021,2,Nashaat et al.,Generative,n
28,Accuracy,0.9021,2,Nashaat et al.,Generative,n
29,Accuracy,0.9021,2,Nashaat et al.,Generative,n
30,Accuracy,0.9021,2,Nashaat et al.,Generative,n
0,Accuracy,0.8189,3,Nashaat et al.,Generative,n
1,Accuracy,0.9016,3,Nashaat et al.,Generative,n
2,Accuracy,0.8189,3,Nashaat et al.,Generative,n
3,Accuracy,0.6512,3,Nashaat et al.,Generative,n
4,Accuracy,0.6512,3,Nashaat et al.,Generative,n
5,Accuracy,0.6512,3,Nashaat et al.,Generative,n
6,Accuracy,0.9019,3,Nashaat et al.,Generative,n
7,Accuracy,0.6513,3,Nashaat et al.,Generative,n
8,Accuracy,0.8192,3,Nashaat et al.,Generative,n
9,Accuracy,0.902,3,Nashaat et al.,Generative,n
10,Accuracy,0.902,3,Nashaat et al.,Generative,n
11,Accuracy,0.902,3,Nashaat et al.,Generative,n
12,Accuracy,0.715,3,Nashaat et al.,Generative,n
13,Accuracy,0.6516,3,Nashaat et al.,Generative,n
14,Accuracy,0.9021,3,Nashaat et al.,Generative,n
15,Accuracy,0.9021,3,Nashaat et al.,Generative,n
