Number of labeled points,Metric,Accuracy,Run,Approach,Model,Dash
8,Accuracy,0.9640000000000001,6,Active Learning,Discriminative,n
8,Accuracy,0.9281,7,Active Learning,Discriminative,n
8,Accuracy,0.4954,8,Active Learning,Discriminative,n
8,Accuracy,0.7686,9,Active Learning,Discriminative,n
9,Accuracy,0.9620000000000001,0,Active Learning,Discriminative,n
9,Accuracy,0.8434,1,Active Learning,Discriminative,n
9,Accuracy,0.9709,2,Active Learning,Discriminative,n
9,Accuracy,0.9614,3,Active Learning,Discriminative,n
9,Accuracy,0.9761,4,Active Learning,Discriminative,n
9,Accuracy,0.9635,5,Active Learning,Discriminative,n
9,Accuracy,0.9757,6,Active Learning,Discriminative,n
9,Accuracy,0.968,7,Active Learning,Discriminative,n
9,Accuracy,0.7599,8,Active Learning,Discriminative,n
9,Accuracy,0.9663,9,Active Learning,Discriminative,n
10,Accuracy,0.7724,0,Active Learning,Discriminative,n
10,Accuracy,0.9049,1,Active Learning,Discriminative,n
10,Accuracy,0.9315,2,Active Learning,Discriminative,n
10,Accuracy,0.9688,3,Active Learning,Discriminative,n
10,Accuracy,0.8818,4,Active Learning,Discriminative,n
10,Accuracy,0.8008,5,Active Learning,Discriminative,n
10,Accuracy,0.9461,6,Active Learning,Discriminative,n
10,Accuracy,0.9528,7,Active Learning,Discriminative,n
10,Accuracy,0.9506,8,Active Learning,Discriminative,n
10,Accuracy,0.9629,9,Active Learning,Discriminative,n
11,Accuracy,0.9608,0,Active Learning,Discriminative,n
11,Accuracy,0.9724,1,Active Learning,Discriminative,n
11,Accuracy,0.9731,2,Active Learning,Discriminative,n
11,Accuracy,0.9123,3,Active Learning,Discriminative,n
11,Accuracy,0.9657,4,Active Learning,Discriminative,n
11,Accuracy,0.9702,5,Active Learning,Discriminative,n
11,Accuracy,0.9725,6,Active Learning,Discriminative,n
11,Accuracy,0.9492,7,Active Learning,Discriminative,n
11,Accuracy,0.9514,8,Active Learning,Discriminative,n
11,Accuracy,0.7845,9,Active Learning,Discriminative,n
12,Accuracy,0.9654,0,Active Learning,Discriminative,n
12,Accuracy,0.9582,1,Active Learning,Discriminative,n
12,Accuracy,0.9692,2,Active Learning,Discriminative,n
12,Accuracy,0.9361,3,Active Learning,Discriminative,n
12,Accuracy,0.9369,4,Active Learning,Discriminative,n
12,Accuracy,0.9767,5,Active Learning,Discriminative,n
12,Accuracy,0.9623,6,Active Learning,Discriminative,n
12,Accuracy,0.9539,7,Active Learning,Discriminative,n
12,Accuracy,0.9534,8,Active Learning,Discriminative,n
12,Accuracy,0.9259,9,Active Learning,Discriminative,n
13,Accuracy,0.9082,0,Active Learning,Discriminative,n
13,Accuracy,0.9725,1,Active Learning,Discriminative,n
13,Accuracy,0.8765,2,Active Learning,Discriminative,n
13,Accuracy,0.9722,3,Active Learning,Discriminative,n
13,Accuracy,0.9719,4,Active Learning,Discriminative,n
13,Accuracy,0.9732,5,Active Learning,Discriminative,n
13,Accuracy,0.9749,6,Active Learning,Discriminative,n
13,Accuracy,0.9743,7,Active Learning,Discriminative,n
13,Accuracy,0.9678,8,Active Learning,Discriminative,n
13,Accuracy,0.9531,9,Active Learning,Discriminative,n
14,Accuracy,0.9620000000000001,0,Active Learning,Discriminative,n
14,Accuracy,0.9513,1,Active Learning,Discriminative,n
14,Accuracy,0.9592,2,Active Learning,Discriminative,n
14,Accuracy,0.9697,3,Active Learning,Discriminative,n
14,Accuracy,0.9519,4,Active Learning,Discriminative,n
14,Accuracy,0.9693,5,Active Learning,Discriminative,n
14,Accuracy,0.9604,6,Active Learning,Discriminative,n
14,Accuracy,0.9709,7,Active Learning,Discriminative,n
14,Accuracy,0.9613,8,Active Learning,Discriminative,n
14,Accuracy,0.963,9,Active Learning,Discriminative,n
15,Accuracy,0.9717,0,Active Learning,Discriminative,n
15,Accuracy,0.9078,1,Active Learning,Discriminative,n
15,Accuracy,0.9738,2,Active Learning,Discriminative,n
15,Accuracy,0.9751,3,Active Learning,Discriminative,n
15,Accuracy,0.9646,4,Active Learning,Discriminative,n
15,Accuracy,0.9769,5,Active Learning,Discriminative,n
15,Accuracy,0.9761,6,Active Learning,Discriminative,n
15,Accuracy,0.9741,7,Active Learning,Discriminative,n
15,Accuracy,0.9242,8,Active Learning,Discriminative,n
15,Accuracy,0.9449,9,Active Learning,Discriminative,n
16,Accuracy,0.9598,0,Active Learning,Discriminative,n
16,Accuracy,0.977,1,Active Learning,Discriminative,n
16,Accuracy,0.9669,2,Active Learning,Discriminative,n
16,Accuracy,0.9209,3,Active Learning,Discriminative,n
16,Accuracy,0.9520000000000001,4,Active Learning,Discriminative,n
16,Accuracy,0.9744,5,Active Learning,Discriminative,n
16,Accuracy,0.9615,6,Active Learning,Discriminative,n
16,Accuracy,0.9694,7,Active Learning,Discriminative,n
16,Accuracy,0.9044,8,Active Learning,Discriminative,n
16,Accuracy,0.9608,9,Active Learning,Discriminative,n
17,Accuracy,0.9602,0,Active Learning,Discriminative,n
17,Accuracy,0.9726,1,Active Learning,Discriminative,n
17,Accuracy,0.9743,2,Active Learning,Discriminative,n
17,Accuracy,0.9765,3,Active Learning,Discriminative,n
17,Accuracy,0.9734,4,Active Learning,Discriminative,n
17,Accuracy,0.9711,5,Active Learning,Discriminative,n
17,Accuracy,0.9663,6,Active Learning,Discriminative,n
17,Accuracy,0.9722,7,Active Learning,Discriminative,n
17,Accuracy,0.9709,8,Active Learning,Discriminative,n
17,Accuracy,0.9537,9,Active Learning,Discriminative,n
18,Accuracy,0.9727,0,Active Learning,Discriminative,n
18,Accuracy,0.9673,1,Active Learning,Discriminative,n
18,Accuracy,0.9494,2,Active Learning,Discriminative,n
18,Accuracy,0.9737,3,Active Learning,Discriminative,n
18,Accuracy,0.9726,4,Active Learning,Discriminative,n
18,Accuracy,0.9771,5,Active Learning,Discriminative,n
18,Accuracy,0.972,6,Active Learning,Discriminative,n
18,Accuracy,0.9729,7,Active Learning,Discriminative,n
18,Accuracy,0.9682,8,Active Learning,Discriminative,n
18,Accuracy,0.9684,9,Active Learning,Discriminative,n
19,Accuracy,0.973,0,Active Learning,Discriminative,n
19,Accuracy,0.943,1,Active Learning,Discriminative,n
19,Accuracy,0.9688,2,Active Learning,Discriminative,n
19,Accuracy,0.9777,3,Active Learning,Discriminative,n
19,Accuracy,0.97,4,Active Learning,Discriminative,n
19,Accuracy,0.9657,5,Active Learning,Discriminative,n
19,Accuracy,0.9736,6,Active Learning,Discriminative,n
19,Accuracy,0.9736,7,Active Learning,Discriminative,n
19,Accuracy,0.9689,8,Active Learning,Discriminative,n
19,Accuracy,0.9524,9,Active Learning,Discriminative,n
20,Accuracy,0.9672,0,Active Learning,Discriminative,n
20,Accuracy,0.9695,1,Active Learning,Discriminative,n
20,Accuracy,0.9629,2,Active Learning,Discriminative,n
20,Accuracy,0.9745,3,Active Learning,Discriminative,n
20,Accuracy,0.9708,4,Active Learning,Discriminative,n
20,Accuracy,0.9756,5,Active Learning,Discriminative,n
20,Accuracy,0.9767,6,Active Learning,Discriminative,n
20,Accuracy,0.9688,7,Active Learning,Discriminative,n
20,Accuracy,0.9627,8,Active Learning,Discriminative,n
20,Accuracy,0.975,9,Active Learning,Discriminative,n
21,Accuracy,0.9654,0,Active Learning,Discriminative,n
21,Accuracy,0.9769,1,Active Learning,Discriminative,n
21,Accuracy,0.9553,2,Active Learning,Discriminative,n
21,Accuracy,0.9757,3,Active Learning,Discriminative,n
21,Accuracy,0.9692,4,Active Learning,Discriminative,n
21,Accuracy,0.9769,5,Active Learning,Discriminative,n
21,Accuracy,0.9769,6,Active Learning,Discriminative,n
21,Accuracy,0.9694,7,Active Learning,Discriminative,n
21,Accuracy,0.9748,8,Active Learning,Discriminative,n
21,Accuracy,0.9675,9,Active Learning,Discriminative,n
22,Accuracy,0.9752,0,Active Learning,Discriminative,n
22,Accuracy,0.9773,1,Active Learning,Discriminative,n
22,Accuracy,0.9682,2,Active Learning,Discriminative,n
22,Accuracy,0.9757,3,Active Learning,Discriminative,n
22,Accuracy,0.9762,4,Active Learning,Discriminative,n
22,Accuracy,0.9749,5,Active Learning,Discriminative,n
22,Accuracy,0.9766,6,Active Learning,Discriminative,n
22,Accuracy,0.9761,7,Active Learning,Discriminative,n
22,Accuracy,0.9419,8,Active Learning,Discriminative,n
22,Accuracy,0.963,9,Active Learning,Discriminative,n
23,Accuracy,0.9658,0,Active Learning,Discriminative,n
23,Accuracy,0.9749,1,Active Learning,Discriminative,n
23,Accuracy,0.9716,2,Active Learning,Discriminative,n
23,Accuracy,0.9762,3,Active Learning,Discriminative,n
23,Accuracy,0.9649,4,Active Learning,Discriminative,n
23,Accuracy,0.9762,5,Active Learning,Discriminative,n
23,Accuracy,0.9751,6,Active Learning,Discriminative,n
23,Accuracy,0.9728,7,Active Learning,Discriminative,n
23,Accuracy,0.9736,8,Active Learning,Discriminative,n
23,Accuracy,0.9714,9,Active Learning,Discriminative,n
24,Accuracy,0.9621,0,Active Learning,Discriminative,n
24,Accuracy,0.9775,1,Active Learning,Discriminative,n
24,Accuracy,0.9766,2,Active Learning,Discriminative,n
24,Accuracy,0.9737,3,Active Learning,Discriminative,n
24,Accuracy,0.9740000000000001,4,Active Learning,Discriminative,n
24,Accuracy,0.9777,5,Active Learning,Discriminative,n
24,Accuracy,0.9646,6,Active Learning,Discriminative,n
24,Accuracy,0.9655,7,Active Learning,Discriminative,n
24,Accuracy,0.9745,8,Active Learning,Discriminative,n
24,Accuracy,0.9742,9,Active Learning,Discriminative,n
25,Accuracy,0.9704,0,Active Learning,Discriminative,n
25,Accuracy,0.9768,1,Active Learning,Discriminative,n
25,Accuracy,0.9774,2,Active Learning,Discriminative,n
25,Accuracy,0.9764,3,Active Learning,Discriminative,n
25,Accuracy,0.977,4,Active Learning,Discriminative,n
25,Accuracy,0.9774,5,Active Learning,Discriminative,n
25,Accuracy,0.9742,6,Active Learning,Discriminative,n
25,Accuracy,0.9740000000000001,7,Active Learning,Discriminative,n
25,Accuracy,0.9765,8,Active Learning,Discriminative,n
25,Accuracy,0.9772,9,Active Learning,Discriminative,n
26,Accuracy,0.9746,0,Active Learning,Discriminative,n
26,Accuracy,0.9771,1,Active Learning,Discriminative,n
26,Accuracy,0.9768,2,Active Learning,Discriminative,n
26,Accuracy,0.9776,3,Active Learning,Discriminative,n
26,Accuracy,0.9672,4,Active Learning,Discriminative,n
26,Accuracy,0.9771,5,Active Learning,Discriminative,n
26,Accuracy,0.9742,6,Active Learning,Discriminative,n
26,Accuracy,0.9740000000000001,7,Active Learning,Discriminative,n
26,Accuracy,0.9740000000000001,8,Active Learning,Discriminative,n
26,Accuracy,0.9752,9,Active Learning,Discriminative,n
27,Accuracy,0.9757,0,Active Learning,Discriminative,n
27,Accuracy,0.972,1,Active Learning,Discriminative,n
27,Accuracy,0.9767,2,Active Learning,Discriminative,n
27,Accuracy,0.9759,3,Active Learning,Discriminative,n
27,Accuracy,0.9731,4,Active Learning,Discriminative,n
27,Accuracy,0.9751,5,Active Learning,Discriminative,n
27,Accuracy,0.9732,6,Active Learning,Discriminative,n
27,Accuracy,0.9738,7,Active Learning,Discriminative,n
27,Accuracy,0.9661,8,Active Learning,Discriminative,n
27,Accuracy,0.9734,9,Active Learning,Discriminative,n
28,Accuracy,0.9775,0,Active Learning,Discriminative,n
28,Accuracy,0.9748,1,Active Learning,Discriminative,n
28,Accuracy,0.9668,2,Active Learning,Discriminative,n
28,Accuracy,0.9773,3,Active Learning,Discriminative,n
28,Accuracy,0.9701,4,Active Learning,Discriminative,n
28,Accuracy,0.975,5,Active Learning,Discriminative,n
28,Accuracy,0.9709,6,Active Learning,Discriminative,n
28,Accuracy,0.9709,7,Active Learning,Discriminative,n
28,Accuracy,0.9744,8,Active Learning,Discriminative,n
28,Accuracy,0.9717,9,Active Learning,Discriminative,n
29,Accuracy,0.9702,0,Active Learning,Discriminative,n
29,Accuracy,0.9747,1,Active Learning,Discriminative,n
29,Accuracy,0.9757,2,Active Learning,Discriminative,n
29,Accuracy,0.9753,3,Active Learning,Discriminative,n
29,Accuracy,0.976,4,Active Learning,Discriminative,n
29,Accuracy,0.9708,5,Active Learning,Discriminative,n
29,Accuracy,0.9729,6,Active Learning,Discriminative,n
29,Accuracy,0.9763,7,Active Learning,Discriminative,n
29,Accuracy,0.9755,8,Active Learning,Discriminative,n
29,Accuracy,0.9684,9,Active Learning,Discriminative,n
30,Accuracy,0.9739,0,Active Learning,Discriminative,n
30,Accuracy,0.9773,1,Active Learning,Discriminative,n
30,Accuracy,0.9737,2,Active Learning,Discriminative,n
30,Accuracy,0.9753,3,Active Learning,Discriminative,n
30,Accuracy,0.9763,4,Active Learning,Discriminative,n
30,Accuracy,0.9670000000000001,5,Active Learning,Discriminative,n
30,Accuracy,0.9725,6,Active Learning,Discriminative,n
30,Accuracy,0.9775,7,Active Learning,Discriminative,n
30,Accuracy,0.9746,8,Active Learning,Discriminative,n
30,Accuracy,0.9653,9,Active Learning,Discriminative,n
0,Accuracy,0.9648,0,*,Generative,y
1,Accuracy,0.9648,0,*,Generative,y
2,Accuracy,0.9648,0,*,Generative,y
3,Accuracy,0.9648,0,*,Generative,y
4,Accuracy,0.9648,0,*,Generative,y
5,Accuracy,0.9648,0,*,Generative,y
6,Accuracy,0.9648,0,*,Generative,y
7,Accuracy,0.9648,0,*,Generative,y
8,Accuracy,0.9648,0,*,Generative,y
9,Accuracy,0.9648,0,*,Generative,y
10,Accuracy,0.9648,0,*,Generative,y
11,Accuracy,0.9648,0,*,Generative,y
12,Accuracy,0.9648,0,*,Generative,y
13,Accuracy,0.9648,0,*,Generative,y
14,Accuracy,0.9648,0,*,Generative,y
15,Accuracy,0.9648,0,*,Generative,y
16,Accuracy,0.9648,0,*,Generative,y
17,Accuracy,0.9648,0,*,Generative,y
18,Accuracy,0.9648,0,*,Generative,y
19,Accuracy,0.9648,0,*,Generative,y
20,Accuracy,0.9648,0,*,Generative,y
21,Accuracy,0.9648,0,*,Generative,y
22,Accuracy,0.9648,0,*,Generative,y
23,Accuracy,0.9648,0,*,Generative,y
24,Accuracy,0.9648,0,*,Generative,y
25,Accuracy,0.9648,0,*,Generative,y
26,Accuracy,0.9648,0,*,Generative,y
27,Accuracy,0.9648,0,*,Generative,y
28,Accuracy,0.9648,0,*,Generative,y
29,Accuracy,0.9648,0,*,Generative,y
30,Accuracy,0.9648,0,*,Generative,y
0,Accuracy,0.9759,0,*,Discriminative,y
1,Accuracy,0.9759,0,*,Discriminative,y
2,Accuracy,0.9759,0,*,Discriminative,y
3,Accuracy,0.9759,0,*,Discriminative,y
4,Accuracy,0.9759,0,*,Discriminative,y
5,Accuracy,0.9759,0,*,Discriminative,y
6,Accuracy,0.9759,0,*,Discriminative,y
7,Accuracy,0.9759,0,*,Discriminative,y
8,Accuracy,0.9759,0,*,Discriminative,y
9,Accuracy,0.9759,0,*,Discriminative,y
10,Accuracy,0.9759,0,*,Discriminative,y
11,Accuracy,0.9759,0,*,Discriminative,y
12,Accuracy,0.9759,0,*,Discriminative,y
13,Accuracy,0.9759,0,*,Discriminative,y
14,Accuracy,0.9759,0,*,Discriminative,y
15,Accuracy,0.9759,0,*,Discriminative,y
16,Accuracy,0.9759,0,*,Discriminative,y
17,Accuracy,0.9759,0,*,Discriminative,y
18,Accuracy,0.9759,0,*,Discriminative,y
19,Accuracy,0.9759,0,*,Discriminative,y
20,Accuracy,0.9759,0,*,Discriminative,y
21,Accuracy,0.9759,0,*,Discriminative,y
22,Accuracy,0.9759,0,*,Discriminative,y
23,Accuracy,0.9759,0,*,Discriminative,y
24,Accuracy,0.9759,0,*,Discriminative,y
25,Accuracy,0.9759,0,*,Discriminative,y
26,Accuracy,0.9759,0,*,Discriminative,y
27,Accuracy,0.9759,0,*,Discriminative,y
28,Accuracy,0.9759,0,*,Discriminative,y
29,Accuracy,0.9759,0,*,Discriminative,y
30,Accuracy,0.9759,0,*,Discriminative,y
0,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
1,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
2,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
3,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
4,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
5,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
6,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
7,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
8,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
9,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
10,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
11,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
12,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
13,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
14,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
15,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
16,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
17,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
18,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
19,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
20,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
21,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
22,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
23,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
24,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
25,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
26,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
27,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
28,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
29,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
30,Accuracy,0.8932400000000001,0,Weak Supervision,Generative,n
0,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
1,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
2,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
3,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
4,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
5,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
6,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
7,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
8,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
9,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
10,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
11,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
12,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
13,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
14,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
15,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
16,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
17,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
18,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
19,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
20,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
21,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
22,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
23,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
24,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
25,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
26,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
27,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
28,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
29,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
30,Accuracy,0.89133,0,Weak Supervision,Discriminative,n
