,Active Learning Iteration,Metric,Value,Run,Set,Model,Label
0,0,MCC,0.27527689933795646,0,train,Generative,AL
1,0,Precision,0.8372093023255814,0,train,Generative,AL
2,0,Recall,0.2391232148787778,0,train,Generative,AL
3,0,Accuracy,0.5963135171039522,0,train,Generative,AL
4,1,MCC,0.40550532453383203,0,train,Generative,AL
5,1,Precision,0.7521674772679213,0,train,Generative,AL
6,1,Recall,0.5906675523082032,0,train,Generative,AL
7,1,Accuracy,0.6980239123214879,0,train,Generative,AL
8,2,MCC,-0.07502163136505807,0,train,Generative,AL
9,2,Precision,0.44586639365241876,0,train,Generative,AL
10,2,Recall,0.28927266688807707,0,train,Generative,AL
11,2,Accuracy,0.4648787778146795,0,train,Generative,AL
12,3,MCC,0.5110375018260875,0,train,Generative,AL
13,3,Precision,0.7600135203650499,0,train,Generative,AL
14,3,Recall,0.7467618731318498,0,train,Generative,AL
15,3,Accuracy,0.7554799070076387,0,train,Generative,AL
16,4,MCC,0.5110375018260875,0,train,Generative,AL
17,4,Precision,0.7600135203650499,0,train,Generative,AL
18,4,Recall,0.7467618731318498,0,train,Generative,AL
19,4,Accuracy,0.7554799070076387,0,train,Generative,AL
20,5,MCC,0.473202611126634,0,train,Generative,AL
21,5,Precision,0.7504842401831309,0,train,Generative,AL
22,5,Recall,0.7077382929259383,0,train,Generative,AL
23,5,Accuracy,0.7362172035868482,0,train,Generative,AL
24,6,MCC,0.5110375018260875,0,train,Generative,AL
25,6,Precision,0.7600135203650499,0,train,Generative,AL
26,6,Recall,0.7467618731318498,0,train,Generative,AL
27,6,Accuracy,0.7554799070076387,0,train,Generative,AL
28,7,MCC,0.5110375018260875,0,train,Generative,AL
29,7,Precision,0.7600135203650499,0,train,Generative,AL
30,7,Recall,0.7467618731318498,0,train,Generative,AL
31,7,Accuracy,0.7554799070076387,0,train,Generative,AL
32,8,MCC,0.5110375018260875,0,train,Generative,AL
33,8,Precision,0.7600135203650499,0,train,Generative,AL
34,8,Recall,0.7467618731318498,0,train,Generative,AL
35,8,Accuracy,0.7554799070076387,0,train,Generative,AL
36,9,MCC,0.5110375018260875,0,train,Generative,AL
37,9,Precision,0.7600135203650499,0,train,Generative,AL
38,9,Recall,0.7467618731318498,0,train,Generative,AL
39,9,Accuracy,0.7554799070076387,0,train,Generative,AL
40,10,MCC,0.5110375018260875,0,train,Generative,AL
41,10,Precision,0.7600135203650499,0,train,Generative,AL
42,10,Recall,0.7467618731318498,0,train,Generative,AL
43,10,Accuracy,0.7554799070076387,0,train,Generative,AL
44,11,MCC,0.5110375018260875,0,train,Generative,AL
45,11,Precision,0.7600135203650499,0,train,Generative,AL
46,11,Recall,0.7467618731318498,0,train,Generative,AL
47,11,Accuracy,0.7554799070076387,0,train,Generative,AL
48,12,MCC,0.5398957425028433,0,train,Generative,AL
49,12,Precision,0.7666065278005576,0,train,Generative,AL
50,12,Recall,0.7761541016273663,0,train,Generative,AL
51,12,Accuracy,0.7699269345732315,0,train,Generative,AL
52,13,MCC,0.5398957425028433,0,train,Generative,AL
53,13,Precision,0.7666065278005576,0,train,Generative,AL
54,13,Recall,0.7761541016273663,0,train,Generative,AL
55,13,Accuracy,0.7699269345732315,0,train,Generative,AL
56,14,MCC,0.5398957425028433,0,train,Generative,AL
57,14,Precision,0.7666065278005576,0,train,Generative,AL
58,14,Recall,0.7761541016273663,0,train,Generative,AL
59,14,Accuracy,0.7699269345732315,0,train,Generative,AL
60,15,MCC,0.5398957425028433,0,train,Generative,AL
61,15,Precision,0.7666065278005576,0,train,Generative,AL
62,15,Recall,0.7761541016273663,0,train,Generative,AL
63,15,Accuracy,0.7699269345732315,0,train,Generative,AL
64,16,MCC,0.5398957425028433,0,train,Generative,AL
65,16,Precision,0.7666065278005576,0,train,Generative,AL
66,16,Recall,0.7761541016273663,0,train,Generative,AL
67,16,Accuracy,0.7699269345732315,0,train,Generative,AL
68,17,MCC,0.5398957425028433,0,train,Generative,AL
69,17,Precision,0.7666065278005576,0,train,Generative,AL
70,17,Recall,0.7761541016273663,0,train,Generative,AL
71,17,Accuracy,0.7699269345732315,0,train,Generative,AL
72,18,MCC,0.5398957425028433,0,train,Generative,AL
73,18,Precision,0.7666065278005576,0,train,Generative,AL
74,18,Recall,0.7761541016273663,0,train,Generative,AL
75,18,Accuracy,0.7699269345732315,0,train,Generative,AL
76,19,MCC,0.5398957425028433,0,train,Generative,AL
77,19,Precision,0.7666065278005576,0,train,Generative,AL
78,19,Recall,0.7761541016273663,0,train,Generative,AL
79,19,Accuracy,0.7699269345732315,0,train,Generative,AL
80,20,MCC,0.5398957425028433,0,train,Generative,AL
81,20,Precision,0.7666065278005576,0,train,Generative,AL
82,20,Recall,0.7761541016273663,0,train,Generative,AL
83,20,Accuracy,0.7699269345732315,0,train,Generative,AL
84,21,MCC,0.5398957425028433,0,train,Generative,AL
85,21,Precision,0.7666065278005576,0,train,Generative,AL
86,21,Recall,0.7761541016273663,0,train,Generative,AL
87,21,Accuracy,0.7699269345732315,0,train,Generative,AL
88,22,MCC,0.5398957425028433,0,train,Generative,AL
89,22,Precision,0.7666065278005576,0,train,Generative,AL
90,22,Recall,0.7761541016273663,0,train,Generative,AL
91,22,Accuracy,0.7699269345732315,0,train,Generative,AL
92,23,MCC,0.5398957425028433,0,train,Generative,AL
93,23,Precision,0.7666065278005576,0,train,Generative,AL
94,23,Recall,0.7761541016273663,0,train,Generative,AL
95,23,Accuracy,0.7699269345732315,0,train,Generative,AL
96,24,MCC,0.5398957425028433,0,train,Generative,AL
97,24,Precision,0.7666065278005576,0,train,Generative,AL
98,24,Recall,0.7761541016273663,0,train,Generative,AL
99,24,Accuracy,0.7699269345732315,0,train,Generative,AL
100,25,MCC,0.5398957425028433,0,train,Generative,AL
101,25,Precision,0.7666065278005576,0,train,Generative,AL
102,25,Recall,0.7761541016273663,0,train,Generative,AL
103,25,Accuracy,0.7699269345732315,0,train,Generative,AL
104,26,MCC,0.5398957425028433,0,train,Generative,AL
105,26,Precision,0.7666065278005576,0,train,Generative,AL
106,26,Recall,0.7761541016273663,0,train,Generative,AL
107,26,Accuracy,0.7699269345732315,0,train,Generative,AL
108,27,MCC,0.5398957425028433,0,train,Generative,AL
109,27,Precision,0.7666065278005576,0,train,Generative,AL
110,27,Recall,0.7761541016273663,0,train,Generative,AL
111,27,Accuracy,0.7699269345732315,0,train,Generative,AL
112,28,MCC,0.5398957425028433,0,train,Generative,AL
113,28,Precision,0.7666065278005576,0,train,Generative,AL
114,28,Recall,0.7761541016273663,0,train,Generative,AL
115,28,Accuracy,0.7699269345732315,0,train,Generative,AL
116,29,MCC,0.5398957425028433,0,train,Generative,AL
117,29,Precision,0.7666065278005576,0,train,Generative,AL
118,29,Recall,0.7761541016273663,0,train,Generative,AL
119,29,Accuracy,0.7699269345732315,0,train,Generative,AL
120,30,MCC,0.5398957425028433,0,train,Generative,AL
121,30,Precision,0.7666065278005576,0,train,Generative,AL
122,30,Recall,0.7761541016273663,0,train,Generative,AL
123,30,Accuracy,0.7699269345732315,0,train,Generative,AL
124,31,MCC,0.5398957425028433,0,train,Generative,AL
125,31,Precision,0.7666065278005576,0,train,Generative,AL
126,31,Recall,0.7761541016273663,0,train,Generative,AL
127,31,Accuracy,0.7699269345732315,0,train,Generative,AL
128,32,MCC,0.5398957425028433,0,train,Generative,AL
129,32,Precision,0.7666065278005576,0,train,Generative,AL
130,32,Recall,0.7761541016273663,0,train,Generative,AL
131,32,Accuracy,0.7699269345732315,0,train,Generative,AL
132,33,MCC,0.5398957425028433,0,train,Generative,AL
133,33,Precision,0.7666065278005576,0,train,Generative,AL
134,33,Recall,0.7761541016273663,0,train,Generative,AL
135,33,Accuracy,0.7699269345732315,0,train,Generative,AL
136,34,MCC,0.5398957425028433,0,train,Generative,AL
137,34,Precision,0.7666065278005576,0,train,Generative,AL
138,34,Recall,0.7761541016273663,0,train,Generative,AL
139,34,Accuracy,0.7699269345732315,0,train,Generative,AL
140,35,MCC,0.5398957425028433,0,train,Generative,AL
141,35,Precision,0.7666065278005576,0,train,Generative,AL
142,35,Recall,0.7761541016273663,0,train,Generative,AL
143,35,Accuracy,0.7699269345732315,0,train,Generative,AL
144,36,MCC,0.5398957425028433,0,train,Generative,AL
145,36,Precision,0.7666065278005576,0,train,Generative,AL
146,36,Recall,0.7761541016273663,0,train,Generative,AL
147,36,Accuracy,0.7699269345732315,0,train,Generative,AL
148,37,MCC,0.5398957425028433,0,train,Generative,AL
149,37,Precision,0.7666065278005576,0,train,Generative,AL
150,37,Recall,0.7761541016273663,0,train,Generative,AL
151,37,Accuracy,0.7699269345732315,0,train,Generative,AL
152,38,MCC,0.5398957425028433,0,train,Generative,AL
153,38,Precision,0.7666065278005576,0,train,Generative,AL
154,38,Recall,0.7761541016273663,0,train,Generative,AL
155,38,Accuracy,0.7699269345732315,0,train,Generative,AL
156,39,MCC,0.5398957425028433,0,train,Generative,AL
157,39,Precision,0.7666065278005576,0,train,Generative,AL
158,39,Recall,0.7761541016273663,0,train,Generative,AL
159,39,Accuracy,0.7699269345732315,0,train,Generative,AL
160,40,MCC,0.5398957425028433,0,train,Generative,AL
161,40,Precision,0.7666065278005576,0,train,Generative,AL
162,40,Recall,0.7761541016273663,0,train,Generative,AL
163,40,Accuracy,0.7699269345732315,0,train,Generative,AL
164,41,MCC,0.5398957425028433,0,train,Generative,AL
165,41,Precision,0.7666065278005576,0,train,Generative,AL
166,41,Recall,0.7761541016273663,0,train,Generative,AL
167,41,Accuracy,0.7699269345732315,0,train,Generative,AL
168,42,MCC,0.5398957425028433,0,train,Generative,AL
169,42,Precision,0.7666065278005576,0,train,Generative,AL
170,42,Recall,0.7761541016273663,0,train,Generative,AL
171,42,Accuracy,0.7699269345732315,0,train,Generative,AL
172,43,MCC,0.5398957425028433,0,train,Generative,AL
173,43,Precision,0.7666065278005576,0,train,Generative,AL
174,43,Recall,0.7761541016273663,0,train,Generative,AL
175,43,Accuracy,0.7699269345732315,0,train,Generative,AL
176,44,MCC,0.5398957425028433,0,train,Generative,AL
177,44,Precision,0.7666065278005576,0,train,Generative,AL
178,44,Recall,0.7761541016273663,0,train,Generative,AL
179,44,Accuracy,0.7699269345732315,0,train,Generative,AL
180,45,MCC,0.5398957425028433,0,train,Generative,AL
181,45,Precision,0.7666065278005576,0,train,Generative,AL
182,45,Recall,0.7761541016273663,0,train,Generative,AL
183,45,Accuracy,0.7699269345732315,0,train,Generative,AL
184,46,MCC,0.5398957425028433,0,train,Generative,AL
185,46,Precision,0.7666065278005576,0,train,Generative,AL
186,46,Recall,0.7761541016273663,0,train,Generative,AL
187,46,Accuracy,0.7699269345732315,0,train,Generative,AL
188,47,MCC,0.5398957425028433,0,train,Generative,AL
189,47,Precision,0.7666065278005576,0,train,Generative,AL
190,47,Recall,0.7761541016273663,0,train,Generative,AL
191,47,Accuracy,0.7699269345732315,0,train,Generative,AL
192,48,MCC,0.5398957425028433,0,train,Generative,AL
193,48,Precision,0.7666065278005576,0,train,Generative,AL
194,48,Recall,0.7761541016273663,0,train,Generative,AL
195,48,Accuracy,0.7699269345732315,0,train,Generative,AL
196,49,MCC,0.5398957425028433,0,train,Generative,AL
197,49,Precision,0.7666065278005576,0,train,Generative,AL
198,49,Recall,0.7761541016273663,0,train,Generative,AL
199,49,Accuracy,0.7699269345732315,0,train,Generative,AL
200,50,MCC,0.5398957425028433,0,train,Generative,AL
201,50,Precision,0.7666065278005576,0,train,Generative,AL
202,50,Recall,0.7761541016273663,0,train,Generative,AL
203,50,Accuracy,0.7699269345732315,0,train,Generative,AL
0,0,MCC,0.26233016431795164,0,test,Generative,AL
1,0,Precision,0.7922705314009661,0,test,Generative,AL
2,0,Recall,0.2523076923076923,0,test,Generative,AL
3,0,Accuracy,0.6046337817638266,0,test,Generative,AL
4,1,MCC,0.44972745758543226,0,test,Generative,AL
5,1,Precision,0.7573529411764706,0,test,Generative,AL
6,1,Recall,0.6338461538461538,0,test,Generative,AL
7,1,Accuracy,0.7234678624813154,0,test,Generative,AL
8,2,MCC,0.22938456386674314,0,test,Generative,AL
9,2,Precision,0.5704387990762124,0,test,Generative,AL
10,2,Recall,0.76,0,test,Generative,AL
11,2,Accuracy,0.6053811659192825,0,test,Generative,AL
12,3,MCC,0.5172379106932532,0,test,Generative,AL
13,3,Precision,0.7458646616541353,0,test,Generative,AL
14,3,Recall,0.7630769230769231,0,test,Generative,AL
15,3,Accuracy,0.7585949177877429,0,test,Generative,AL
16,4,MCC,0.5172379106932532,0,test,Generative,AL
17,4,Precision,0.7458646616541353,0,test,Generative,AL
18,4,Recall,0.7630769230769231,0,test,Generative,AL
19,4,Accuracy,0.7585949177877429,0,test,Generative,AL
20,5,MCC,0.4852729550236183,0,test,Generative,AL
21,5,Precision,0.7375776397515528,0,test,Generative,AL
22,5,Recall,0.7307692307692307,0,test,Generative,AL
23,5,Accuracy,0.7428998505231689,0,test,Generative,AL
24,6,MCC,0.5172379106932532,0,test,Generative,AL
25,6,Precision,0.7458646616541353,0,test,Generative,AL
26,6,Recall,0.7630769230769231,0,test,Generative,AL
27,6,Accuracy,0.7585949177877429,0,test,Generative,AL
28,7,MCC,0.5172379106932532,0,test,Generative,AL
29,7,Precision,0.7458646616541353,0,test,Generative,AL
30,7,Recall,0.7630769230769231,0,test,Generative,AL
31,7,Accuracy,0.7585949177877429,0,test,Generative,AL
32,8,MCC,0.5172379106932532,0,test,Generative,AL
33,8,Precision,0.7458646616541353,0,test,Generative,AL
34,8,Recall,0.7630769230769231,0,test,Generative,AL
35,8,Accuracy,0.7585949177877429,0,test,Generative,AL
36,9,MCC,0.5404832718557875,0,test,Generative,AL
37,9,Precision,0.750733137829912,0,test,Generative,AL
38,9,Recall,0.7876923076923077,0,test,Generative,AL
39,9,Accuracy,0.7698056801195815,0,test,Generative,AL
40,10,MCC,0.5404832718557875,0,test,Generative,AL
41,10,Precision,0.750733137829912,0,test,Generative,AL
42,10,Recall,0.7876923076923077,0,test,Generative,AL
43,10,Accuracy,0.7698056801195815,0,test,Generative,AL
44,11,MCC,0.5404832718557875,0,test,Generative,AL
